,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-11-13,34-067,CLE,HOME,MIN,L (-5),1,29:08,.530,.409,6.3,14.1,9.5,18.8,0.0,0.0,7.0,20.1,128,135,10.4,-0.6
1,2022-12-31,34-115,CLE,AWAY,CHI,W (+1),1,33:30,.648,.633,6.2,22.8,14.3,4.9,1.5,2.4,16.3,23.3,116,104,14.4,5.3
2,2023-01-02,34-117,CLE,HOME,CHI,W (+11),1,37:47,.551,.550,2.9,56.1,26.8,6.6,0.0,0.0,8.4,13.7,115,121,9.7,-1.5
3,2023-02-24,34-170,MIA,AWAY,MIL,L (-29),1,21:31,.000,.000,4.0,33.9,17.5,24.8,2.2,4.3,0.0,7.9,59,115,3.7,-3.1
4,2023-02-25,34-171,MIA,AWAY,CHO,L (-5),1,26:10,.547,.500,0.0,51.8,26.5,14.9,0.0,3.2,0.0,19.6,112,98,12.5,7.0
5,2023-02-27,34-173,MIA,AWAY,PHI,W (+2),1,21:03,.500,.500,10.9,20.1,15.0,16.2,2.6,0.0,11.1,20.0,111,110,6.1,0.4
6,2023-03-01,34-175,MIA,HOME,PHI,L (-23),1,24:21,.666,.600,0.0,26.6,13.3,7.0,0.0,0.0,12.9,15.3,119,131,6.3,-3.4
7,2023-03-03,34-177,MIA,HOME,NYK,L (-2),1,23:23,.654,.583,10.5,36.2,22.5,6.3,0.0,0.0,12.7,15.1,132,133,8.1,-2.0
8,2023-03-04,34-178,MIA,HOME,ATL,W (+8),1,18:06,.429,.429,0.0,32.3,16.6,7.2,2.7,0.0,12.5,18.9,85,105,3.3,-3.7
9,2023-03-08,34-182,MIA,HOME,CLE,L (-4),1,20:31,.571,.571,13.4,41.3,27.1,18.2,2.5,0.0,30.0,22.3,92,106,6.9,0.0
10,2023-03-10,34-184,MIA,HOME,CLE,W (+4),1,20:59,.394,.313,24.7,16.0,20.0,6.1,0.0,5.3,18.4,23.0,97,122,5.3,-7.6
11,2023-03-11,34-185,MIA,AWAY,ORL,L (-12),1,17:01,.725,.000,0.0,27.7,14.0,14.8,2.8,0.0,26.6,9.8,127,108,5.5,3.5
12,2023-03-13,34-187,MIA,HOME,UTA,W (+4),1,21:27,.619,.625,0.0,15.3,7.9,0.0,0.0,0.0,10.1,20.5,107,125,6.5,-4.9
13,2023-03-15,34-189,MIA,HOME,MEM,W (+19),1,18:16,.635,.643,0.0,35.0,19.7,19.2,0.0,0.0,20.2,23.7,109,118,7.0,-0.6
14,2023-03-18,34-192,MIA,AWAY,CHI,L (-14),1,19:51,.429,.429,0.0,24.2,10.2,24.1,0.0,0.0,22.2,20.6,85,133,2.9,-3.9
15,2023-03-19,34-193,MIA,AWAY,DET,W (+12),1,23:30,.607,.556,10.8,28.5,20.2,13.7,0.0,0.0,16.8,24.3,110,111,8.7,-3.6
16,2023-03-22,34-196,MIA,HOME,NYK,W (+7),1,23:15,.500,.500,0.0,22.9,11.6,20.2,2.1,0.0,14.3,14.4,105,121,5.4,0.0
17,2023-03-25,34-199,MIA,HOME,BRK,L (-29),1,18:50,.625,.625,7.1,12.4,9.9,15.5,0.0,0.0,0.0,10.4,149,153,4.9,-2.1
18,2023-03-28,34-202,MIA,AWAY,TOR,L (-14),1,19:33,.300,.300,0.0,26.7,13.6,8.3,2.8,4.3,0.0,11.9,78,109,3.4,-2.1
19,2023-03-29,34-203,MIA,AWAY,NYK,L (-9),1,16:14,.313,.313,0.0,31.1,14.4,20.3,3.3,0.0,0.0,24.6,76,104,3.4,-0.8
