,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-11-04,24-277,CHO,AWAY,MEM,L (-31),1,21:28,.340,.200,0.0,4.8,2.2,14.5,2.2,0.0,25.4,15.0,64,129,0.8,-13.0
1,2022-11-25,24-298,CHO,HOME,MIN,W (+2),1,31:13,.405,.333,0.0,18.1,9.2,13.0,0.0,0.0,9.2,13.9,94,106,5.0,-5.6
2,2022-11-28,24-301,CHO,AWAY,BOS,L (-35),1,29:59,.932,.917,0.0,4.9,2.1,11.6,0.0,0.0,18.9,22.6,138,149,15.9,2.4
3,2022-12-02,24-305,CHO,HOME,WAS,W (+1),1,25:18,.455,.389,6.7,12.9,9.4,5.5,0.0,0.0,9.2,18.3,104,127,3.9,-11.3
4,2022-12-03,24-306,CHO,HOME,MIL,L (-9),1,33:01,.626,.600,0.0,16.9,8.0,13.0,1.4,2.9,10.7,24.3,114,103,14.3,4.0
5,2022-12-05,24-308,CHO,HOME,LAC,L (-2),1,34:15,.483,.375,0.0,11.7,5.8,19.6,4.2,0.0,0.0,11.3,131,116,12.2,0.6
6,2022-12-07,24-310,CHO,AWAY,BRK,L (-6),1,35:43,.638,.607,0.0,26.9,11.9,11.1,1.4,2.4,6.3,19.6,127,122,15.3,0.8
7,2022-12-09,24-312,CHO,HOME,NYK,L (-19),1,21:26,.340,.200,0.0,18.3,9.6,19.3,0.0,0.0,14.5,14.2,83,129,1.6,-10.2
8,2022-12-11,24-314,CHO,AWAY,PHI,L (-18),1,30:32,.540,.500,3.3,16.1,9.1,16.5,4.6,0.0,17.8,21.9,102,124,10.3,-2.2
9,2022-12-16,24-319,CHO,HOME,ATL,L (-19),1,16:44,.415,.375,0.0,9.0,3.4,18.9,2.9,0.0,19.2,25.3,79,128,1.3,-13.7
10,2023-01-04,24-338,CHO,HOME,MEM,L (-24),1,27:24,.627,.591,0.0,27.3,11.9,0.0,3.2,5.5,19.0,23.7,94,114,12.4,0.0
11,2023-01-06,24-340,CHO,AWAY,MIL,W (+29),1,32:24,.539,.375,0.0,27.8,14.2,6.1,3.0,4.1,0.0,13.1,130,103,12.6,-1.5
12,2023-01-08,24-342,CHO,AWAY,IND,L (-5),1,34:09,.571,.571,6.1,12.8,9.4,5.0,1.3,2.9,21.2,22.5,92,112,9.4,-3.5
13,2023-01-10,24-344,CHO,AWAY,TOR,L (-12),1,29:16,.571,.500,0.0,25.0,13.8,7.8,1.7,3.5,17.2,18.8,101,132,7.7,-8.4
14,2023-01-12,24-346,CHO,AWAY,TOR,L (-10),1,27:50,.421,.409,0.0,21.0,11.7,0.0,1.7,0.0,29.6,26.3,58,125,-0.6,-17.7
15,2023-01-14,24-348,CHO,HOME,BOS,L (-16),1,27:55,.563,.563,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12.8,119,137,4.9,-5.3
16,2023-01-16,24-350,CHO,HOME,BOS,L (-12),1,35:25,.797,.767,5.9,3.5,4.8,4.7,3.0,0.0,5.8,21.7,152,143,22.1,8.4
17,2023-01-18,24-352,CHO,AWAY,HOU,W (+5),1,34:54,.545,.545,0.0,14.5,6.5,10.4,6.7,2.3,15.4,15.4,99,106,13.3,0.2
18,2023-01-21,24-355,CHO,AWAY,ATL,W (+4),1,24:05,.438,.438,0.0,5.5,2.6,15.3,0.0,0.0,0.0,14.4,103,123,3.0,-9.0
19,2023-01-23,24-357,CHO,AWAY,UTA,L (-18),1,28:06,.455,.444,3.6,34.2,17.5,16.4,1.7,3.7,23.3,19.3,80,114,6.2,-5.3
20,2023-01-24,24-358,CHO,AWAY,PHO,L (-31),1,34:18,.469,.469,5.6,24.9,14.7,9.6,4.1,0.0,15.8,22.7,86,118,9.8,-4.1
21,2023-03-06,25-034,PHI,AWAY,IND,W (+4),1,29:48,.678,.615,10.7,26.8,19.5,0.0,1.5,0.0,11.9,24.6,122,137,14.3,-7.6
22,2023-04-07,25-066,PHI,AWAY,ATL,W (+5),1,43:32,.611,.529,5.2,25.5,14.9,8.9,3.1,2.1,4.8,18.6,131,106,23.4,4.8
23,2023-04-09,25-068,PHI,AWAY,BRK,W (+29),1,17:56,.571,.571,11.9,5.7,8.7,12.7,5.1,0.0,0.0,15.3,140,98,9.4,4.3
