,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-11-05,29-046,MIN,HOME,HOU,W (+12),1,30:39,.962,1.000,5.2,8.0,6.8,23.7,4.6,0.0,10.7,12.9,178,111,19.4,11.5
1,2022-11-07,29-048,MIN,HOME,NYK,L (-13),1,24:46,.750,.750,0.0,8.8,4.7,12.8,3.7,4.7,0.0,10.7,146,112,10.7,5.6
2,2022-11-30,29-071,MIN,HOME,MEM,W (+8),1,39:21,.421,.364,2.8,13.9,8.3,16.3,1.2,2.0,7.8,14.4,97,104,9.1,-2.2
3,2022-12-07,29-078,MIN,HOME,IND,W (+6),1,22:05,.543,.500,0.0,22.3,10.6,0.0,0.0,0.0,13.4,12.8,101,117,3.8,-7.5
4,2022-12-09,29-080,MIN,AWAY,UTA,W (+10),1,35:02,.837,.800,0.0,19.2,11.4,45.0,2.8,3.0,30.9,16.5,142,105,20.3,11.5
5,2022-12-10,29-081,MIN,AWAY,POR,L (-6),1,39:29,.651,.556,0.0,24.3,11.7,18.7,1.2,0.0,15.7,14.6,125,127,13.8,-0.8
6,2022-12-12,29-083,MIN,AWAY,POR,L (-21),1,27:39,.507,.438,0.0,4.2,1.9,21.3,3.4,0.0,10.1,15.4,109,129,8.2,-2.8
7,2022-12-14,29-085,MIN,AWAY,LAC,L (-11),1,32:06,.514,.500,0.0,17.9,9.4,31.8,1.6,0.0,19.2,22.4,92,104,8.1,-1.5
8,2022-12-16,29-087,MIN,AWAY,OKC,W (+2),1,32:10,.333,.333,0.0,21.8,10.2,7.7,4.3,2.9,0.0,11.8,83,101,6.6,-4.6
9,2022-12-18,29-089,MIN,HOME,CHI,W (+24),1,21:05,.167,.167,0.0,11.1,6.6,12.5,2.2,4.6,0.0,12.9,75,119,0.6,-13.5
10,2022-12-30,29-101,MIN,AWAY,MIL,L (-9),1,23:18,.554,.600,0.0,4.2,2.0,24.4,0.0,0.0,0.0,11.3,127,124,5.0,-3.1
11,2022-12-31,29-102,MIN,HOME,DET,L (-12),1,34:27,.564,.375,6.1,12.4,9.2,8.4,1.4,0.0,15.8,16.1,112,119,9.0,-2.2
12,2023-01-02,29-104,MIN,HOME,DEN,W (+13),1,31:17,.690,.625,4.0,9.6,7.1,34.3,4.9,0.0,6.8,20.6,153,112,21.4,14.9
13,2023-01-04,29-106,MIN,HOME,POR,W (+7),1,29:41,.500,.500,0.0,8.7,4.5,23.7,1.7,3.5,0.0,9.2,131,114,7.6,1.7
14,2023-01-06,29-108,MIN,HOME,LAC,W (+13),1,30:39,.857,.857,4.9,17.7,12.9,24.6,0.0,2.1,22.2,12.5,149,116,13.7,6.6
15,2023-01-08,29-110,MIN,AWAY,HOU,W (+8),1,34:13,.615,.500,3.7,14.9,9.9,23.9,5.8,2.6,38.1,10.4,107,89,11.3,6.0
16,2023-01-13,29-115,MIN,HOME,PHO,W (+5),1,31:38,.563,.500,0.0,7.2,3.8,14.8,0.0,2.4,10.1,13.3,114,117,7.9,-3.6
17,2023-01-14,29-116,MIN,HOME,CLE,W (+8),1,28:06,.602,1.000,4.7,19.5,12.0,16.4,3.6,10.7,47.5,10.8,90,99,7.2,4.9
18,2023-01-16,29-118,MIN,HOME,UTA,L (-1),1,34:23,.542,.542,8.1,28.6,16.9,37.1,1.4,2.8,0.0,14.7,152,126,18.6,5.4
19,2023-01-18,29-120,MIN,AWAY,DEN,L (-4),1,34:29,.597,.650,7.3,39.1,21.9,33.1,5.6,2.2,15.5,16.3,128,111,18.8,10.4
20,2023-01-19,29-121,MIN,HOME,TOR,W (+2),1,33:31,.969,1.000,7.5,31.0,19.1,25.6,2.8,2.4,8.8,14.2,183,118,25.8,13.8
21,2023-01-21,29-123,MIN,HOME,HOU,W (+9),1,33:10,.000,.000,0.0,24.1,11.8,7.6,1.5,7.9,22.2,12.5,16,101,-1.5,-12.8
22,2023-01-23,29-125,MIN,AWAY,HOU,L (-5),1,12:24,.333,.333,0.0,0.0,0.0,10.4,0.0,0.0,25.0,12.9,65,119,-2.0,-18.3
23,2023-01-25,29-127,MIN,AWAY,NOP,W (+9),1,33:27,.644,.500,3.8,7.2,5.5,28.1,2.9,6.1,34.0,16.3,109,102,11.8,4.1
24,2023-01-27,29-129,MIN,HOME,MEM,W (+11),1,27:01,.700,.688,4.3,7.0,5.8,38.1,3.5,3.0,5.7,27.8,139,98,20.6,15.4
25,2023-01-28,29-130,MIN,HOME,SAC,W (+7),1,26:57,.726,.625,5.1,11.9,8.9,23.2,0.0,0.0,0.0,10.2,179,119,10.1,5.1
26,2023-01-30,29-132,MIN,HOME,SAC,L (-7),1,36:15,.507,.438,6.1,17.2,11.8,22.7,0.0,2.1,25.3,14.4,101,109,8.5,-1.3
27,2023-02-01,29-134,MIN,HOME,GSW,W (+5),1,39:18,.549,.667,6.9,23.3,14.6,13.3,0.0,2.4,0.0,8.7,133,101,12.7,1.4
28,2023-02-03,29-136,MIN,HOME,ORL,L (-7),1,5:22,,,0.0,0.0,0.0,0.0,0.0,14.4,,0.0,0,122,0.3,-2.5
29,2023-02-05,29-138,MIN,HOME,DEN,W (+30),1,13:03,1.064,1.000,0.0,34.5,15.5,8.3,3.6,0.0,34.7,9.5,142,91,5.3,4.5
30,2023-02-10,29-143,MIN,AWAY,MEM,L (-21),1,17:06,.872,.833,6.7,37.9,21.3,18.9,2.7,0.0,22.5,22.6,135,119,12.0,11.6
31,2023-02-16,29-149,MIN,HOME,WAS,L (-8),1,31:08,.610,.538,3.0,12.3,7.6,43.7,3.0,0.0,6.3,19.8,138,110,19.8,12.1
32,2023-02-24,29-157,MIN,HOME,CHO,L (-8),1,28:24,.410,.500,3.5,20.7,12.2,24.8,0.0,5.3,35.3,16.6,78,116,5.1,-5.3
33,2023-02-26,29-159,MIN,AWAY,GSW,L (-5),1,30:22,.644,.563,3.2,25.8,14.4,24.9,0.0,3.2,9.7,14.2,136,109,13.5,3.0
34,2023-02-28,29-161,MIN,AWAY,LAC,W (+7),1,25:55,.500,.500,4.1,37.0,20.6,17.4,3.5,0.0,14.3,22.2,97,91,9.9,0.2
35,2023-03-03,29-164,MIN,AWAY,LAL,W (+8),1,35:04,.581,.500,0.0,8.7,4.7,14.4,1.4,2.4,12.7,9.9,123,108,8.6,-2.1
36,2023-03-04,29-165,MIN,AWAY,SAC,W (+4),1,35:46,.966,1.063,0.0,20.9,11.9,31.3,1.4,4.3,9.7,13.2,184,134,24.2,14.5
37,2023-03-07,29-168,MIN,HOME,PHI,L (-23),1,28:22,.444,.429,6.5,14.1,9.6,11.7,1.7,3.0,11.3,14.1,96,121,7.3,-3.3
38,2023-03-10,29-171,MIN,HOME,BRK,L (-1),1,38:45,.625,.625,2.8,17.5,10.1,39.2,1.3,0.0,14.3,15.3,131,118,17.4,5.7
39,2023-03-13,29-174,MIN,AWAY,ATL,W (+21),1,36:32,.956,.917,0.0,26.3,14.9,33.2,2.5,3.5,21.5,10.9,168,104,24.2,13.1
40,2023-03-15,29-176,MIN,HOME,BOS,L (-2),1,36:21,.519,.500,12.0,8.6,10.3,38.1,0.0,6.0,12.2,20.3,117,109,15.1,5.7
41,2023-03-17,29-178,MIN,AWAY,CHI,L (-8),1,51:05,.331,.286,4.1,21.6,11.7,32.9,1.0,3.2,15.3,17.3,96,124,11.6,-3.1
42,2023-03-18,29-179,MIN,AWAY,TOR,L (-15),1,31:49,.429,.429,6.7,18.0,12.1,25.2,0.0,0.0,0.0,19.0,105,121,9.4,-2.6
43,2023-03-20,29-181,MIN,AWAY,NYK,W (+6),1,34:05,.536,.563,8.3,29.0,18.6,15.5,1.4,0.0,24.4,15.5,107,129,9.0,-4.9
44,2023-03-22,29-183,MIN,HOME,ATL,W (+1),1,35:51,.563,.563,3.1,6.7,4.8,23.6,0.0,0.0,20.0,11.6,117,128,9.2,-1.4
45,2023-03-27,29-188,MIN,AWAY,SAC,W (+4),1,36:01,.638,.600,9.8,3.3,6.5,39.3,2.8,0.0,7.8,15.9,149,122,19.1,10.3
