,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,35-008,UTA,HOME,DEN,W (+21),1,32:02,.637,.500,0.0,7.1,3.8,32.0,3.0,2.5,22.7,17.1,128,100,14.5,6.9
1,2022-10-21,35-010,UTA,AWAY,MIN,W (+6),1,36:13,.378,.367,2.5,5.2,3.9,37.3,2.6,0.0,5.9,18.5,112,115,10.7,-4.1
2,2022-10-23,35-012,UTA,AWAY,NOP,W (+1),1,36:18,.292,.292,0.0,6.8,3.3,30.2,0.0,1.9,7.7,15.0,92,120,5.3,-7.8
3,2022-10-24,35-013,UTA,AWAY,HOU,L (-6),1,27:18,.478,.500,0.0,7.3,3.7,31.8,5.3,6.4,21.5,13.7,107,109,11.1,5.5
4,2022-10-26,35-015,UTA,HOME,HOU,W (+8),1,27:46,.509,.500,0.0,9.3,5.1,27.8,1.6,0.0,19.0,23.0,94,100,6.5,-5.7
5,2022-10-28,35-017,UTA,AWAY,DEN,L (-16),1,23:28,.888,.857,4.2,4.4,4.3,34.3,0.0,0.0,0.0,14.9,182,132,14.4,11.0
6,2022-10-31,35-020,UTA,HOME,MEM,W (+16),1,30:16,.833,.833,0.0,5.8,3.2,23.3,1.5,0.0,0.0,12.6,176,107,15.0,8.0
7,2022-11-02,35-022,UTA,AWAY,DAL,L (-3),1,32:47,.564,.438,0.0,4.2,1.9,33.8,1.6,0.0,23.5,17.6,112,115,10.1,-1.1
8,2022-11-04,35-024,UTA,AWAY,LAL,W (+14),1,31:20,.656,.636,6.7,0.0,3.5,35.8,1.6,0.0,14.9,17.8,144,125,17.1,5.8
9,2022-11-06,35-026,UTA,AWAY,LAC,W (+8),1,32:59,.632,.615,4.2,22.4,13.8,23.5,3.0,0.0,6.9,19.7,132,100,17.0,6.7
10,2022-11-07,35-027,UTA,HOME,LAL,W (+23),1,23:46,.888,.929,0.0,5.3,2.7,56.5,0.0,0.0,0.0,13.4,200,121,18.6,14.1
11,2022-11-09,35-029,UTA,AWAY,ATL,W (+6),1,28:43,.451,.333,0.0,3.3,1.7,53.4,0.0,0.0,11.4,12.5,138,123,10.8,-0.8
12,2022-11-12,35-032,UTA,AWAY,WAS,L (-9),1,29:41,.178,.125,0.0,11.8,5.5,38.2,1.6,0.0,19.2,15.2,77,121,4.3,-9.8
13,2022-11-13,35-033,UTA,AWAY,PHI,L (-7),1,31:32,.214,.214,0.0,3.8,1.7,34.3,0.0,0.0,30.0,12.6,71,113,0.6,-9.6
14,2022-11-15,35-035,UTA,HOME,NYK,L (-7),1,33:53,.442,.350,3.1,9.0,6.2,31.2,5.7,0.0,8.1,15.0,120,112,11.7,0.6
15,2022-11-18,35-038,UTA,HOME,PHO,W (+1),1,30:16,.658,.667,3.9,12.9,8.1,35.5,1.5,2.5,16.8,16.0,140,127,14.2,4.7
16,2022-11-19,35-039,UTA,AWAY,POR,W (+5),1,9:05,.000,.000,0.0,12.9,6.2,37.7,5.3,0.0,0.0,4.6,119,105,1.9,-1.1
17,2022-12-13,35-063,UTA,HOME,NOP,W (+21),1,28:52,.415,.375,0.0,0.0,0.0,21.8,1.6,0.0,26.2,14.9,95,100,3.2,-6.0
18,2022-12-15,35-065,UTA,HOME,NOP,W (+3),1,32:15,.188,.125,0.0,6.3,3.5,24.4,0.0,0.0,15.8,16.7,65,127,-1.2,-16.3
19,2022-12-17,35-067,UTA,AWAY,MIL,L (-26),1,25:22,.333,.333,0.0,5.1,2.3,21.5,2.0,0.0,0.0,11.1,98,134,3.9,-9.2
20,2022-12-19,35-069,UTA,AWAY,CLE,L (-23),1,28:23,.438,.438,3.0,7.0,4.2,49.2,3.4,0.0,27.3,15.9,96,122,8.1,0.0
21,2022-12-20,35-070,UTA,AWAY,DET,W (+15),1,26:14,.470,.500,4.0,9.1,6.4,30.9,1.9,0.0,0.0,12.0,141,115,9.3,-0.3
