,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,30-166,NOP,AWAY,BRK,W (+22),1,26:37,.540,.500,21.2,25.8,23.4,9.2,0.0,3.2,6.7,21.5,133,105,15.3,2.3
1,2022-10-21,30-168,NOP,AWAY,CHO,W (+12),1,29:27,.874,.773,15.9,43.2,30.8,22.5,1.6,2.6,5.5,24.6,182,103,34.9,22.7
2,2022-10-23,30-170,NOP,HOME,UTA,L (-1),1,24:27,.253,.182,40.3,4.7,21.9,14.9,2.0,0.0,7.8,21.7,95,118,5.9,-8.4
3,2022-10-25,30-172,NOP,HOME,DAL,W (+2),1,22:18,.630,.556,0.0,45.7,23.9,13.0,0.0,5.0,8.8,24.9,121,117,10.7,0.0
4,2022-10-28,30-175,NOP,AWAY,PHO,L (-13),1,31:17,.722,.688,11.0,28.3,19.2,14.5,1.6,0.0,10.4,27.3,134,127,21.6,5.0
5,2022-10-30,30-177,NOP,AWAY,LAC,W (+21),1,23:55,.709,.750,4.7,26.2,15.8,26.4,2.1,0.0,27.9,20.3,116,94,10.8,5.9
6,2022-11-02,30-180,NOP,AWAY,LAL,L (-3),1,21:43,.379,.318,17.4,28.7,22.8,6.2,0.0,0.0,14.4,27.3,84,109,5.0,-10.5
7,2022-11-04,30-182,NOP,HOME,GSW,W (+9),1,19:27,.709,.667,7.1,39.8,22.4,0.0,0.0,0.0,15.1,15.1,128,111,6.3,-3.7
8,2022-11-05,30-183,NOP,AWAY,ATL,L (-3),1,25:39,.472,.417,25.4,39.7,32.2,5.6,1.8,3.1,12.7,23.9,107,102,13.7,1.1
9,2022-11-07,30-185,NOP,AWAY,IND,L (-7),1,21:49,.778,.778,9.2,27.5,17.5,13.5,0.0,0.0,0.0,17.3,165,130,13.6,4.1
10,2022-11-09,30-187,NOP,AWAY,CHI,W (+4),1,29:38,.671,.615,11.6,37.7,24.8,16.7,1.6,0.0,11.3,24.7,133,108,20.9,9.5
11,2022-11-10,30-188,NOP,HOME,POR,L (-11),1,19:38,.394,.313,11.1,46.8,29.6,8.7,0.0,0.0,0.0,20.4,100,106,5.8,-2.9
12,2022-11-12,30-190,NOP,HOME,HOU,W (+13),1,20:16,.457,.357,10.5,13.9,12.0,6.4,2.4,0.0,10.2,20.7,103,108,5.0,-6.6
13,2022-11-15,30-193,NOP,HOME,MEM,W (+11),1,13:41,.250,.250,8.0,14.0,11.2,17.8,0.0,0.0,50.0,26.4,48,107,-3.3,-23.9
14,2022-11-16,30-194,NOP,HOME,CHI,W (+14),1,27:14,.745,.692,12.6,17.2,14.9,12.2,0.0,3.1,16.9,28.8,131,114,17.3,2.7
15,2022-11-18,30-196,NOP,HOME,BOS,L (-8),1,21:15,.672,.714,0.0,22.0,10.9,21.4,0.0,0.0,21.2,20.6,109,127,6.8,-2.7
16,2022-11-21,30-199,NOP,HOME,GSW,W (+45),1,22:47,.806,1.000,20.6,44.1,32.6,10.4,0.0,0.0,24.4,15.1,136,86,11.3,1.5
17,2022-11-23,30-201,NOP,AWAY,SAS,W (+19),1,26:07,1.000,1.000,5.0,39.4,23.3,12.1,0.0,3.6,21.4,22.1,136,102,19.6,11.7
18,2022-11-25,30-203,NOP,AWAY,MEM,L (-21),1,17:24,.400,.400,0.0,19.2,9.5,8.8,0.0,0.0,44.4,22.0,46,134,-3.1,-23.9
19,2022-11-28,30-206,NOP,HOME,OKC,W (+4),1,20:23,.581,.500,21.9,26.7,24.5,7.4,0.0,0.0,42.1,23.7,82,101,4.5,-10.2
20,2022-11-30,30-208,NOP,HOME,TOR,W (+18),1,25:55,.621,.583,9.5,47.4,29.4,16.4,0.0,0.0,18.9,25.0,115,106,13.4,1.8
21,2022-12-02,30-210,NOP,AWAY,SAS,W (+18),1,25:39,.823,.773,7.6,31.8,20.2,15.0,0.0,3.2,0.0,21.2,172,95,22.3,14.5
22,2022-12-04,30-212,NOP,HOME,DEN,W (+15),1,13:45,.689,.667,0.0,17.9,8.8,17.4,0.0,7.0,9.6,34.1,116,106,8.1,0.2
23,2022-12-07,30-215,NOP,HOME,DET,W (+6),1,28:21,.438,.438,11.5,31.7,22.1,12.5,0.0,0.0,11.1,26.9,91,101,8.6,-6.0
24,2022-12-09,30-217,NOP,HOME,PHO,W (+11),1,28:09,.338,.250,8.1,35.0,21.1,0.0,0.0,0.0,10.1,28.9,77,120,3.8,-17.1
25,2022-12-11,30-219,NOP,HOME,PHO,W (+5),1,17:41,.602,.500,20.0,43.6,35.3,0.0,0.0,0.0,31.1,25.5,95,110,4.0,-14.3
26,2022-12-13,30-221,NOP,AWAY,UTA,L (-21),1,19:15,.508,.462,22.7,5.3,14.7,11.3,4.7,0.0,16.9,35.6,95,113,9.4,-3.2
27,2022-12-15,30-223,NOP,AWAY,UTA,L (-3),1,26:09,.500,.500,11.7,29.7,19.6,5.0,0.0,4.5,14.3,11.1,114,122,6.1,-5.2
28,2022-12-17,30-225,NOP,AWAY,PHO,L (-4),1,26:01,.667,.667,0.0,35.1,20.8,0.0,0.0,4.4,18.2,20.6,98,120,7.2,-6.8
29,2022-12-19,30-227,NOP,HOME,MIL,L (-9),1,37:02,.744,.729,14.7,44.4,26.5,27.2,1.3,0.0,7.4,28.0,147,122,34.5,18.1
30,2022-12-22,30-230,NOP,HOME,SAS,W (+9),1,25:50,.508,.429,20.2,21.1,20.6,5.7,1.8,0.0,11.3,27.5,114,114,11.3,-8.8
31,2022-12-23,30-231,NOP,AWAY,OKC,W (+3),1,27:17,.563,.500,19.4,7.5,13.3,0.0,0.0,0.0,10.1,14.5,122,113,7.9,-6.5
32,2022-12-26,30-234,NOP,HOME,IND,W (+20),1,28:40,.556,.556,21.8,22.8,22.3,34.5,1.7,3.5,14.3,30.7,115,96,18.4,4.8
33,2022-12-28,30-236,NOP,HOME,MIN,W (+1),1,29:13,.436,.333,12.6,33.7,23.2,10.1,0.0,3.0,6.8,21.5,105,116,9.6,-5.6
34,2022-12-30,30-238,NOP,HOME,PHI,W (+11),1,27:58,.460,.400,10.4,37.5,23.8,4.7,1.7,8.4,8.4,18.9,104,114,8.6,-6.0
35,2022-12-31,30-239,NOP,AWAY,MEM,L (-15),1,22:26,.510,.500,4.0,24.3,13.1,0.0,2.0,10.2,0.0,10.0,115,100,5.8,1.2
36,2023-01-02,30-241,NOP,AWAY,PHI,L (-9),1,28:24,.667,.667,4.4,40.4,24.1,5.0,0.0,9.9,18.2,16.9,110,113,10.1,1.0
37,2023-01-04,30-243,NOP,HOME,HOU,W (+11),1,31:44,.465,.400,13.2,41.0,27.4,9.5,0.0,3.0,18.9,28.0,94,104,10.7,-9.3
38,2023-01-06,30-245,NOP,HOME,BRK,L (-6),1,25:55,.505,.455,15.8,23.6,19.7,0.0,0.0,0.0,20.2,24.2,94,116,6.7,-8.0
39,2023-01-07,30-246,NOP,AWAY,DAL,L (-10),1,29:57,.799,.769,6.5,37.7,19.3,16.6,0.0,0.0,6.0,22.0,157,130,23.2,8.7
40,2023-01-09,30-248,NOP,AWAY,WAS,W (+20),1,28:15,.729,.667,16.2,34.9,25.2,5.3,0.0,0.0,13.9,31.6,135,113,21.0,1.3
41,2023-01-11,30-250,NOP,AWAY,BOS,L (-11),1,23:23,.597,.550,0.0,20.5,9.9,11.8,0.0,0.0,15.5,25.6,103,131,7.8,-4.0
42,2023-01-13,30-252,NOP,AWAY,DET,W (+6),1,29:51,.851,.833,15.0,41.1,28.6,21.2,0.0,2.7,17.1,32.7,141,102,31.3,15.4
43,2023-01-16,30-255,NOP,AWAY,CLE,L (-10),1,34:59,.849,.833,8.3,39.7,25.1,9.7,0.0,2.6,23.6,22.9,130,114,19.3,4.5
44,2023-01-18,30-257,NOP,HOME,MIA,L (-26),1,25:00,.731,.727,18.3,29.5,23.7,0.0,0.0,0.0,24.5,29.6,107,129,12.5,-5.1
45,2023-01-20,30-259,NOP,AWAY,ORL,L (-13),1,28:05,.503,.500,10.7,36.3,21.1,6.7,0.0,3.8,0.0,30.5,109,127,13.5,-4.3
46,2023-01-22,30-261,NOP,AWAY,MIA,L (-4),1,24:53,.500,.500,15.2,55.7,37.2,8.2,0.0,4.2,12.5,28.1,94,94,11.2,-2.5
47,2023-01-24,30-263,NOP,HOME,DEN,L (-1),1,18:02,.625,.611,19.5,44.4,31.1,0.0,0.0,5.7,15.2,32.6,115,105,9.9,3.4
48,2023-01-25,30-264,NOP,HOME,MIN,L (-9),1,28:41,.833,.833,8.4,44.0,25.7,0.0,0.0,3.2,18.2,17.0,125,113,13.0,1.1
49,2023-01-28,30-267,NOP,HOME,WAS,L (-10),1,8:46,.000,.000,0.0,34.9,17.3,0.0,0.0,0.0,40.0,24.8,0,110,-4.4,-35.0
50,2023-01-29,30-268,NOP,AWAY,MIL,L (-25),1,22:18,.474,.438,0.0,15.4,6.8,8.3,2.1,0.0,10.6,35.6,84,129,7.0,-8.9
51,2023-01-31,30-270,NOP,AWAY,DEN,L (-9),1,18:59,.530,.556,12.0,26.6,19.0,17.2,0.0,0.0,9.6,23.8,107,124,7.5,-3.0
