,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-25,24-274,NOP,HOME,DAL,W (+2),1,33:23,.697,.667,9.6,4.4,6.8,4.1,0.0,0.0,21.8,20.2,115,131,8.9,-6.9
1,2022-10-28,24-277,NOP,AWAY,PHO,L (-13),1,35:00,.691,.654,13.1,7.2,10.3,24.1,1.4,0.0,11.6,21.7,138,134,19.4,6.3
2,2022-10-30,24-279,NOP,AWAY,LAC,W (+21),1,38:44,.654,.654,2.9,13.5,8.4,13.3,2.6,0.0,13.3,17.5,121,96,14.5,2.1
3,2022-11-02,24-282,NOP,AWAY,LAL,L (-3),1,38:32,.507,.438,0.0,13.5,6.4,9.6,3.7,2.2,18.4,12.0,91,103,9.5,-0.9
4,2022-12-22,24-332,NOP,HOME,SAS,W (+9),1,24:46,.583,.583,8.4,13.2,10.8,10.2,0.0,0.0,25.0,12.9,108,121,4.5,-7.0
5,2022-12-23,24-333,NOP,AWAY,OKC,W (+3),1,33:58,.590,.450,0.0,24.0,12.2,13.5,1.3,0.0,17.2,20.5,108,106,12.1,-1.9
6,2022-12-26,24-336,NOP,HOME,IND,W (+20),1,29:05,.739,.714,0.0,22.5,11.0,23.8,0.0,3.4,11.8,24.3,135,99,17.1,8.3
7,2022-12-28,24-338,NOP,HOME,MIN,W (+1),1,35:03,.536,.444,3.5,21.1,12.3,4.1,0.0,0.0,0.0,13.6,122,120,8.9,-5.2
8,2022-12-30,24-340,NOP,HOME,PHI,W (+11),1,31:29,.336,.357,0.0,23.8,11.7,11.4,4.7,0.0,21.2,13.3,73,115,3.9,-5.2
9,2023-01-04,24-345,NOP,HOME,HOU,W (+11),1,32:38,.581,.500,6.4,15.3,11.0,17.5,0.0,0.0,22.5,22.8,108,115,11.3,-3.3
10,2023-01-06,24-347,NOP,HOME,BRK,L (-6),1,33:15,.747,.682,0.0,27.6,13.8,5.5,4.6,0.0,16.3,23.3,130,104,20.3,12.1
11,2023-01-07,24-348,NOP,AWAY,DAL,L (-10),1,38:06,.561,.559,2.6,3.7,3.0,15.0,3.7,2.8,15.7,26.4,102,122,16.0,-0.8
12,2023-01-09,24-350,NOP,AWAY,WAS,W (+20),1,33:41,.425,.395,3.4,7.3,5.3,14.6,1.4,0.0,4.5,27.4,101,114,10.8,-6.3
13,2023-01-11,24-352,NOP,AWAY,BOS,L (-11),1,37:03,.537,.467,0.0,22.7,10.9,10.4,0.0,2.8,0.0,21.0,114,129,14.0,-1.6
14,2023-01-13,24-354,NOP,AWAY,DET,W (+6),1,34:39,.666,.636,3.2,14.7,9.2,16.4,1.3,0.0,28.2,21.4,100,106,11.5,-1.6
15,2023-01-16,24-357,NOP,AWAY,CLE,L (-10),1,35:49,.583,.583,0.0,10.6,5.7,14.0,0.0,0.0,14.3,18.5,100,125,8.6,-4.7
16,2023-01-18,24-359,NOP,HOME,MIA,L (-26),1,31:53,.419,.346,0.0,19.3,9.3,19.4,0.0,0.0,6.5,21.8,95,131,7.4,-7.3
17,2023-01-29,25-005,NOP,AWAY,MIL,L (-25),1,34:13,.259,.267,5.3,6.7,5.9,23.8,0.0,0.0,11.5,21.4,71,137,2.1,-12.7
18,2023-02-05,25-012,NOP,HOME,SAC,W (+32),1,24:18,.581,.583,0.0,25.2,13.8,23.1,4.1,0.0,12.0,29.9,115,101,14.4,1.6
19,2023-03-11,25-046,NOP,HOME,OKC,L (-14),1,35:49,.625,.625,0.0,27.5,13.2,10.3,0.0,0.0,36.8,22.9,72,112,4.2,-6.8
20,2023-03-12,25-047,NOP,HOME,POR,W (+17),1,28:23,.667,.667,0.0,11.3,5.7,21.3,0.0,0.0,50.0,8.9,96,114,3.7,-8.0
