,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,26-049,NYK,AWAY,MEM,L (-3),1,36:05,.417,.417,4.7,10.5,7.5,39.2,0.0,0.0,0.0,20.5,112,115,12.9,1.3
1,2022-10-21,26-051,NYK,HOME,DET,W (+24),1,28:22,.644,.636,0.0,6.5,3.4,25.5,1.6,0.0,0.0,19.1,147,104,15.9,5.9
2,2022-10-24,26-054,NYK,HOME,ORL,W (+13),1,33:02,.606,.563,0.0,9.7,4.8,27.8,3.1,0.0,14.8,25.2,122,108,15.1,4.1
3,2022-10-26,26-056,NYK,HOME,CHO,W (+3),1,40:35,.785,.733,0.0,21.3,10.4,43.6,1.2,1.9,14.9,21.5,151,117,29.6,10.2
4,2022-10-28,26-058,NYK,AWAY,MIL,L (-11),1,33:08,.466,.350,0.0,7.2,3.8,8.9,1.4,0.0,17.7,20.6,86,120,5.1,-8.3
5,2022-10-30,26-060,NYK,AWAY,CLE,L (-13),1,33:57,.412,.421,0.0,13.2,6.4,29.4,4.3,0.0,4.9,25.6,99,118,12.8,-0.4
6,2022-11-02,26-063,NYK,HOME,ATL,L (-13),1,31:00,.597,.567,0.0,2.7,1.5,31.5,0.0,2.1,15.2,26.7,110,120,13.0,1.3
7,2022-11-04,26-065,NYK,AWAY,PHI,W (+2),1,35:49,.607,.500,3.3,12.6,8.6,34.0,0.0,0.0,5.0,23.7,135,106,19.8,3.9
8,2022-11-05,26-066,NYK,HOME,BOS,L (-15),1,32:41,.615,.588,0.0,11.0,5.6,46.9,0.0,0.0,0.0,23.9,151,145,21.6,4.6
9,2022-11-07,26-068,NYK,AWAY,MIN,W (+13),1,33:35,.751,.714,3.2,15.0,8.7,43.7,0.0,0.0,16.4,22.6,139,111,20.1,4.5
10,2022-11-09,26-070,NYK,AWAY,BRK,L (-27),1,30:58,.432,.321,2.8,10.1,6.1,14.2,0.0,0.0,15.6,26.2,81,119,5.8,-7.0
11,2022-11-11,26-072,NYK,HOME,DET,W (+9),1,32:41,.666,.563,0.0,3.4,1.6,34.0,6.0,0.0,0.0,24.3,158,108,26.0,16.7
12,2022-11-13,26-074,NYK,HOME,OKC,L (-10),1,23:58,.704,.556,0.0,7.7,2.7,36.9,5.5,0.0,7.6,21.0,152,127,19.1,9.5
13,2022-11-15,26-076,NYK,AWAY,UTA,W (+7),1,34:24,.574,.525,3.0,6.2,4.6,37.2,4.2,0.0,15.5,31.0,113,110,18.9,4.1
14,2022-11-16,26-077,NYK,AWAY,DEN,W (+3),1,31:07,.691,.615,0.0,18.4,9.4,41.2,0.0,0.0,6.2,23.9,139,115,19.3,5.5
15,2022-11-18,26-079,NYK,AWAY,GSW,L (-10),1,31:41,.393,.192,0.0,17.2,7.9,22.5,3.0,0.0,10.8,23.8,88,108,8.6,-2.7
16,2022-11-20,26-081,NYK,AWAY,PHO,L (-21),1,29:17,.593,.571,3.4,6.4,5.0,30.8,0.0,2.6,4.2,36.7,117,129,19.0,10.0
17,2022-11-21,26-082,NYK,AWAY,OKC,W (+10),1,34:15,.751,.725,0.0,0.0,0.0,40.2,1.4,0.0,8.1,29.1,154,122,30.1,14.2
18,2022-11-25,26-086,NYK,HOME,POR,L (-3),1,41:18,.616,.523,2.7,11.4,7.0,15.5,0.0,0.0,3.7,27.2,132,128,22.3,2.3
19,2022-11-27,26-088,NYK,HOME,MEM,L (-4),1,35:35,.593,.475,2.9,11.7,7.3,36.6,1.4,0.0,7.3,34.0,130,130,24.0,4.1
20,2022-11-29,26-090,NYK,AWAY,DET,W (+30),1,18:15,.901,.875,6.6,0.0,3.2,34.4,2.6,0.0,10.1,21.8,179,111,15.4,14.5
21,2022-11-30,26-091,NYK,HOME,MIL,L (-6),1,34:03,.358,.364,2.5,11.3,6.6,22.9,1.5,2.6,4.0,30.1,88,117,9.3,0.3
22,2022-12-03,26-094,NYK,HOME,DAL,L (-21),1,27:27,.547,.545,0.0,6.7,3.7,20.0,0.0,0.0,20.2,24.0,92,128,5.8,-6.8
23,2022-12-04,26-095,NYK,HOME,CLE,W (+11),1,32:16,.589,.500,0.0,6.2,3.2,24.2,0.0,3.1,13.3,29.1,115,88,14.9,9.8
24,2022-12-07,26-098,NYK,HOME,ATL,W (+24),1,26:00,.254,.143,4.5,10.4,7.9,33.3,4.0,0.0,20.2,33.9,71,93,1.6,-14.4
25,2022-12-09,26-100,NYK,AWAY,CHO,W (+19),1,27:28,.373,.269,0.0,4.0,1.9,53.8,1.8,0.0,11.9,25.0,105,111,8.9,-2.4
26,2022-12-11,26-102,NYK,HOME,SAC,W (+13),1,27:03,.571,.500,3.9,7.0,5.5,19.3,3.6,0.0,24.1,32.1,97,99,11.0,-0.3
