,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-11-30,24-185,ORL,HOME,ATL,L (-17),1,16:46,.450,.375,7.0,0.0,3.5,37.7,5.8,4.6,10.1,26.2,103,117,8.0,3.7
1,2022-12-02,24-187,ORL,AWAY,CLE,L (-11),1,29:36,.556,.556,12.5,14.3,13.3,30.5,0.0,0.0,30.8,20.4,102,122,8.9,-2.8
2,2022-12-03,24-188,ORL,AWAY,TOR,L (-13),1,18:45,.394,.375,0.0,7.1,3.6,33.8,2.6,0.0,10.1,24.2,90,125,4.5,-8.1
3,2022-12-05,24-190,ORL,HOME,MIL,L (-7),1,32:09,.530,.500,2.8,13.6,7.7,13.5,2.9,0.0,9.6,26.2,103,105,13.1,2.1
4,2022-12-07,24-192,ORL,HOME,LAC,W (+5),1,27:47,.102,.000,0.0,7.1,3.6,19.1,0.0,0.0,38.1,12.5,39,117,-3.4,-18.2
5,2022-12-09,24-194,ORL,HOME,TOR,W (+4),1,25:18,.833,.833,0.0,12.1,7.5,31.0,0.0,0.0,25.0,23.2,126,117,11.3,2.7
6,2022-12-11,24-196,ORL,HOME,TOR,W (+12),1,23:19,.518,.400,0.0,5.4,2.9,25.8,0.0,0.0,42.5,23.1,78,117,0.0,-16.7
7,2022-12-14,24-199,ORL,HOME,ATL,W (+11),1,31:37,.571,.571,10.8,14.1,12.5,39.2,6.1,2.9,6.7,19.4,143,115,21.5,9.3
8,2022-12-16,24-201,ORL,AWAY,BOS,W (+8),1,28:11,.551,.500,11.9,3.5,7.5,20.3,3.4,4.5,31.5,22.5,95,105,7.5,-0.8
9,2022-12-18,24-203,ORL,AWAY,BOS,W (+3),1,30:18,.368,.300,6.5,9.3,7.9,28.0,4.8,0.0,15.5,19.0,86,89,9.0,1.4
10,2022-12-19,24-204,ORL,AWAY,ATL,L (-1),1,33:02,.632,.632,3.2,17.7,10.1,45.1,1.4,0.0,9.5,26.8,128,125,22.2,4.0
11,2022-12-21,24-206,ORL,AWAY,HOU,W (+6),1,28:55,.420,.400,3.3,0.0,1.8,14.5,0.0,0.0,7.1,20.1,94,119,4.6,-10.8
12,2022-12-23,24-208,ORL,HOME,SAS,W (+20),1,23:49,.592,.600,0.0,28.2,17.2,36.7,7.8,0.0,22.8,15.7,128,92,14.2,9.3
13,2022-12-27,24-212,ORL,HOME,LAL,L (-19),1,27:34,.576,.577,3.9,9.2,6.3,17.5,3.5,7.4,12.6,26.1,106,125,13.7,2.6
14,2022-12-28,24-213,ORL,AWAY,DET,L (-20),1,27:51,.233,.167,3.3,24.0,12.6,49.2,1.8,0.0,7.2,21.2,80,122,6.0,-6.7
15,2022-12-30,24-215,ORL,HOME,WAS,L (-19),1,26:07,.466,.458,12.9,17.8,14.6,33.6,5.1,0.0,0.0,20.1,116,103,16.1,10.5
16,2023-01-04,24-220,ORL,HOME,OKC,W (+11),1,25:16,.666,.625,15.4,12.7,13.9,23.4,1.9,3.7,29.1,23.2,114,116,11.3,-0.1
17,2023-01-05,24-221,ORL,HOME,MEM,L (-8),1,31:01,.400,.400,0.0,18.9,8.8,42.5,3.1,0.0,9.1,15.9,104,118,11.0,-0.3
18,2023-01-07,24-223,ORL,AWAY,GSW,W (+14),1,30:56,.487,.500,3.4,12.9,8.3,34.4,9.4,0.0,10.8,26.6,104,87,18.4,8.1
19,2023-01-09,24-225,ORL,AWAY,SAC,L (-25),1,28:06,.800,.800,3.7,4.0,3.8,31.2,0.0,3.3,16.7,18.3,140,141,15.0,1.8
20,2023-01-10,24-226,ORL,AWAY,POR,W (+3),1,36:37,.922,.875,3.6,6.2,5.0,29.8,1.4,0.0,23.5,15.9,152,115,19.0,6.2
21,2023-01-13,24-229,ORL,AWAY,UTA,L (-4),1,29:26,.444,.444,0.0,3.5,1.6,27.6,3.1,0.0,30.8,18.0,80,110,4.6,-7.2
22,2023-01-15,24-231,ORL,AWAY,DEN,L (-3),1,27:25,.791,.850,4.5,25.6,15.3,38.9,3.5,0.0,28.3,27.6,117,113,17.9,8.3
23,2023-01-20,24-236,ORL,HOME,NOP,W (+13),1,23:43,.461,.375,0.0,8.4,5.0,18.4,0.0,3.6,17.0,22.9,91,115,5.6,-8.2
24,2023-01-21,24-237,ORL,AWAY,WAS,L (-20),1,29:18,.730,.679,3.6,16.0,9.4,45.4,1.6,0.0,6.0,24.8,153,136,22.7,9.6
25,2023-01-23,24-239,ORL,HOME,BOS,W (+15),1,31:59,.405,.333,4.1,11.3,7.8,19.5,0.0,4.1,16.8,17.1,95,109,6.7,-5.4
26,2023-01-25,24-241,ORL,HOME,IND,W (+6),1,31:25,.666,.625,0.0,4.4,2.3,31.9,1.6,3.1,23.5,17.7,127,126,12.4,-2.4
27,2023-01-27,24-243,ORL,AWAY,MIA,L (-5),1,30:49,.556,.556,0.0,10.9,6.1,37.1,0.0,6.0,30.8,19.6,92,109,7.4,-2.4
28,2023-01-28,24-244,ORL,HOME,CHI,L (-19),1,21:32,.444,.429,0.0,6.6,3.0,19.5,0.0,0.0,20.2,20.9,82,135,2.1,-14.5
29,2023-01-30,24-246,ORL,AWAY,PHI,W (+10),1,32:09,.370,.286,2.9,3.5,3.1,41.4,5.8,0.0,0.0,19.8,112,101,15.0,5.3
30,2023-02-01,24-248,ORL,AWAY,PHI,L (-11),1,33:26,.705,.636,3.0,7.0,4.8,12.5,0.0,0.0,19.0,19.9,120,115,12.0,0.4
31,2023-02-03,24-250,ORL,AWAY,MIN,W (+7),1,29:54,.638,.600,11.5,3.9,7.7,13.6,3.1,0.0,7.8,17.5,139,119,15.5,3.4
32,2023-02-05,24-252,ORL,AWAY,CHO,W (+6),1,35:56,.615,.615,2.7,0.0,1.5,21.3,4.1,0.0,18.8,18.4,113,111,12.7,-0.7
33,2023-02-07,24-254,ORL,HOME,NYK,L (-4),1,31:30,.788,.750,7.4,7.1,7.3,39.3,1.7,0.0,18.4,24.7,136,118,18.8,8.3
34,2023-02-09,24-256,ORL,HOME,DEN,W (+11),1,31:43,.288,.231,16.1,11.6,14.1,14.3,4.6,0.0,12.6,20.8,87,103,7.5,-5.1
35,2023-02-11,24-258,ORL,HOME,MIA,L (-4),1,33:03,.571,.536,3.4,11.2,7.1,18.7,1.6,0.0,21.2,26.3,97,111,8.7,-5.3
36,2023-02-13,24-260,ORL,AWAY,CHI,W (+9),1,35:09,.567,.533,6.7,24.3,15.9,45.4,0.0,2.1,0.0,20.4,136,95,21.5,9.5
37,2023-02-14,24-261,ORL,AWAY,TOR,L (-10),1,36:11,.567,.500,7.4,16.1,11.5,19.7,1.4,4.5,15.2,23.8,114,124,15.6,0.3
38,2023-02-23,24-270,ORL,HOME,DET,W (+2),1,29:41,.485,.464,0.0,8.1,3.6,44.2,3.2,3.4,12.2,22.7,104,102,13.5,4.3
39,2023-02-25,24-272,ORL,HOME,IND,L (-13),1,31:21,.541,.429,6.1,9.2,7.7,17.8,1.5,0.0,19.4,26.4,101,122,10.8,-3.9
40,2023-02-27,24-274,ORL,AWAY,NOP,W (+8),1,29:53,.742,.722,8.0,11.8,9.9,30.5,3.5,0.0,9.6,15.9,150,99,16.5,11.6
41,2023-03-01,24-276,ORL,AWAY,MIL,L (-22),1,31:42,.685,.679,3.0,19.8,11.0,25.8,0.0,0.0,11.5,21.9,130,137,17.2,1.9
42,2023-03-03,24-278,ORL,AWAY,CHO,W (+11),1,33:27,.507,.500,0.0,15.5,7.6,14.3,2.9,0.0,36.0,17.7,79,106,4.4,-8.7
43,2023-03-05,24-280,ORL,HOME,POR,L (-3),1,34:53,.670,.556,3.2,13.4,8.2,31.3,5.4,0.0,8.2,15.5,145,113,20.4,6.3
44,2023-03-07,24-282,ORL,HOME,MIL,L (-11),1,31:05,.576,.538,0.0,5.0,2.0,15.8,1.5,0.0,12.6,20.2,111,127,10.2,-4.3
45,2023-03-09,24-284,ORL,HOME,UTA,L (-7),1,32:19,.799,.769,10.4,0.0,5.7,29.1,0.0,0.0,0.0,19.7,179,138,25.0,10.3
46,2023-03-11,24-286,ORL,HOME,MIA,W (+12),1,38:02,.400,.400,6.2,6.3,6.3,28.1,2.5,4.9,28.6,23.3,82,102,6.9,-8.0
47,2023-03-14,24-289,ORL,AWAY,SAS,L (-18),1,30:51,.454,.385,5.9,8.6,7.0,25.8,1.6,3.5,12.3,22.0,104,132,11.0,-4.8
48,2023-03-16,24-291,ORL,AWAY,PHO,L (-3),1,33:38,.682,.647,3.7,19.9,12.2,47.0,2.8,0.0,9.8,25.6,140,112,24.3,9.8
49,2023-03-18,24-293,ORL,AWAY,LAC,W (+5),1,34:33,.682,.618,7.1,11.3,9.5,19.8,5.5,2.0,8.9,27.9,135,102,27.0,12.1
50,2023-03-19,24-294,ORL,AWAY,LAL,L (-6),1,33:42,.450,.458,5.1,3.6,4.5,42.0,1.4,0.0,23.1,21.0,93,117,8.5,-3.3
51,2023-03-21,24-296,ORL,HOME,WAS,W (+10),1,31:27,.504,.500,0.0,19.6,10.2,24.8,3.1,3.0,19.2,30.1,91,107,10.7,-6.6
52,2023-03-23,24-298,ORL,HOME,NYK,W (+5),1,34:14,.421,.364,0.0,2.9,1.6,32.6,1.4,2.9,20.2,18.9,93,114,7.7,-5.2
53,2023-03-26,24-301,ORL,HOME,BRK,W (+13),1,28:27,.385,.385,8.9,12.7,11.1,41.5,3.4,0.0,7.1,21.8,108,104,12.8,1.8
54,2023-03-28,24-303,ORL,AWAY,MEM,L (-5),1,28:50,.583,.556,0.0,3.6,1.7,25.5,3.1,0.0,0.0,12.8,132,106,11.7,2.4
55,2023-03-31,24-306,ORL,AWAY,WAS,W (+7),1,33:08,.787,.800,3.4,12.7,8.8,20.6,0.0,5.3,11.2,23.7,137,108,22.1,7.4
56,2023-04-02,24-308,ORL,HOME,DET,W (+26),1,24:09,.619,.688,0.0,9.2,5.0,36.1,2.0,8.8,31.1,24.0,101,103,9.4,-0.5
57,2023-04-04,24-310,ORL,HOME,CLE,L (-4),1,36:06,.676,.676,0.0,6.8,3.5,35.0,0.0,0.0,10.5,23.1,137,130,18.1,3.3
58,2023-04-07,24-313,ORL,AWAY,BRK,L (-17),1,17:45,.470,.429,0.0,5.2,2.7,59.1,2.8,0.0,11.8,19.8,108,106,6.7,4.1
59,2023-04-09,24-315,ORL,AWAY,MIA,L (-13),1,11:10,.583,.583,0.0,11.6,4.9,34.2,0.0,0.0,0.0,22.5,128,130,5.7,-1.0
