,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-18,33-053,PHI,AWAY,BOS,L (-9),1,37:17,.908,.821,0.0,31.2,15.4,31.7,0.0,0.0,13.5,27.0,165,132,31.9,14.5
1,2022-10-20,33-055,PHI,HOME,MIL,L (-2),1,40:20,.602,.563,0.0,21.2,10.3,52.2,2.6,2.8,7.2,33.5,120,93,28.0,16.0
2,2022-10-22,33-057,PHI,HOME,SAS,L (-9),1,40:17,.304,.250,11.1,14.9,12.9,44.4,1.3,4.7,9.2,23.9,97,120,12.5,-2.8
3,2022-10-24,33-059,PHI,HOME,IND,W (+14),1,34:39,.734,.694,0.0,27.1,14.5,63.1,3.0,0.0,4.8,29.0,156,107,31.0,16.8
4,2022-10-26,33-061,PHI,AWAY,TOR,L (-10),1,35:39,.615,.542,0.0,26.2,12.9,36.4,0.0,2.9,17.0,23.9,119,129,16.5,0.7
5,2022-10-28,33-063,PHI,AWAY,TOR,W (+22),1,33:43,.533,.444,3.8,8.7,6.6,15.3,0.0,6.1,32.6,21.6,88,102,6.3,-8.3
6,2022-10-29,33-064,PHI,AWAY,CHI,W (+5),1,36:00,.420,.154,0.0,19.0,9.9,40.4,2.7,0.0,14.4,25.8,106,109,15.2,-1.8
7,2022-10-31,33-066,PHI,AWAY,WAS,W (+7),1,37:37,.586,.529,0.0,21.3,11.5,60.6,2.6,0.0,16.9,28.8,124,114,25.1,6.8
8,2022-11-02,33-068,PHI,HOME,WAS,L (-10),1,35:04,.581,.528,0.0,20.7,9.1,48.8,1.5,0.0,12.7,32.1,119,130,19.9,3.9
9,2022-12-05,33-101,PHI,AWAY,HOU,L (-9),1,38:24,.449,.316,3.3,10.3,6.7,32.1,2.8,0.0,23.0,37.7,88,121,9.6,-7.9
10,2022-12-09,33-105,PHI,HOME,LAL,W (+11),1,47:21,.622,.553,3.0,8.0,5.7,35.4,2.0,2.0,18.2,25.5,123,111,24.8,4.5
11,2022-12-11,33-107,PHI,HOME,CHO,W (+18),1,38:15,.669,.625,3.2,21.4,13.1,52.2,0.0,2.0,22.0,20.4,135,112,22.4,5.9
12,2022-12-13,33-109,PHI,HOME,SAC,W (+20),1,35:55,.671,.692,0.0,18.3,10.4,59.6,6.6,0.0,27.7,27.1,116,91,24.3,11.8
13,2022-12-16,33-112,PHI,HOME,GSW,W (+12),1,36:30,.712,.667,2.9,10.3,6.8,41.6,0.0,0.0,17.4,26.6,132,113,21.5,4.4
14,2022-12-19,33-115,PHI,HOME,TOR,W (+3),1,41:56,.457,.393,0.0,19.2,9.7,39.4,1.2,0.0,24.6,23.8,85,101,9.1,-4.2
15,2022-12-21,33-117,PHI,HOME,DET,W (+20),1,32:34,.504,.500,0.0,6.3,3.1,36.7,1.5,2.6,21.2,24.3,96,95,10.3,-0.6
16,2022-12-23,33-119,PHI,HOME,LAC,W (+5),1,41:06,.509,.441,0.0,32.9,17.8,61.3,1.2,0.0,13.3,25.6,125,120,25.3,7.1
17,2022-12-25,33-121,PHI,AWAY,NYK,W (+7),1,43:21,.696,.594,0.0,11.4,5.7,46.1,5.0,1.9,4.6,25.3,155,117,33.0,17.0
18,2022-12-27,33-123,PHI,AWAY,WAS,L (-5),1,39:49,.707,.571,0.0,19.6,10.8,51.3,3.7,2.3,21.4,25.0,131,114,28.5,13.2
19,2022-12-30,33-126,PHI,AWAY,NOP,L (-11),1,35:21,.940,.875,0.0,4.1,2.1,38.6,0.0,0.0,39.7,23.3,125,136,16.3,0.9
20,2023-01-02,33-129,PHI,HOME,NOP,W (+9),1,38:18,.577,.500,0.0,6.6,3.0,32.4,2.6,2.3,4.1,28.5,125,114,22.8,5.8
21,2023-01-04,33-131,PHI,HOME,IND,W (+3),1,42:40,.533,.450,0.0,16.6,8.2,26.1,1.2,4.2,14.1,30.2,111,122,19.0,-0.2
22,2023-01-06,33-133,PHI,HOME,CHI,L (-14),1,33:43,.414,.324,14.5,8.4,12.0,45.6,1.5,0.0,4.6,28.7,120,138,17.7,3.0
23,2023-01-08,33-135,PHI,AWAY,DET,W (+12),1,28:03,.635,.607,3.6,42.8,21.6,55.3,0.0,2.7,6.0,24.5,147,106,22.9,13.5
24,2023-01-10,33-137,PHI,HOME,DET,W (+31),1,26:02,.962,1.000,5.6,42.3,27.3,64.4,3.4,0.0,26.5,17.4,164,102,26.2,20.2
25,2023-01-12,33-139,PHI,HOME,OKC,L (-19),1,36:25,.726,.654,0.0,22.6,10.1,63.6,1.3,0.0,29.8,26.5,117,127,22.0,8.2
26,2023-01-14,33-141,PHI,AWAY,UTA,W (+1),1,37:41,.731,.684,2.7,16.8,9.0,53.9,0.0,0.0,8.6,27.3,150,125,28.4,11.2
27,2023-01-15,33-142,PHI,AWAY,LAL,W (+1),1,36:29,.756,.733,0.0,24.9,12.1,54.9,1.4,2.0,11.2,23.0,147,114,26.8,13.3
28,2023-01-17,33-144,PHI,AWAY,LAC,W (+10),1,31:32,.387,.167,0.0,13.8,6.9,36.6,1.6,3.2,27.9,16.1,102,118,7.7,-4.9
29,2023-01-19,33-146,PHI,AWAY,POR,W (+10),1,33:49,.627,.591,0.0,27.8,16.3,61.2,0.0,0.0,28.2,24.9,114,99,16.9,3.8
30,2023-01-25,33-152,PHI,HOME,BRK,W (+4),1,35:08,.763,.708,0.0,13.2,6.1,28.3,2.9,2.7,28.5,27.0,121,137,17.5,0.5
31,2023-01-28,33-155,PHI,HOME,DEN,W (+7),1,35:47,.672,.650,3.2,12.2,7.2,44.4,0.0,0.0,0.0,15.3,172,130,21.5,8.2
32,2023-01-30,33-157,PHI,HOME,ORL,L (-10),1,34:57,.539,.464,0.0,21.1,11.6,24.9,0.0,0.0,11.3,21.4,109,116,13.0,-1.7
33,2023-02-01,33-159,PHI,HOME,ORL,W (+11),1,37:34,.808,.769,3.1,21.3,12.9,51.0,1.3,0.0,30.3,27.4,119,95,22.6,10.9
34,2023-02-03,33-161,PHI,AWAY,SAS,W (+12),1,24:47,.592,.500,4.8,17.1,10.5,40.5,0.0,0.0,18.2,27.8,126,129,14.0,-1.8
35,2023-02-05,33-163,PHI,AWAY,NYK,L (-11),1,38:12,.440,.364,0.0,20.1,10.8,60.4,2.8,2.9,12.8,19.5,104,112,15.4,4.1
36,2023-02-08,33-166,PHI,AWAY,BOS,L (-7),1,37:22,.742,.679,0.0,11.3,4.8,52.9,1.5,3.1,5.4,24.3,155,122,27.5,17.4
37,2023-02-10,33-168,PHI,HOME,NYK,W (+11),1,37:16,.549,.500,0.0,27.1,13.7,44.2,1.4,0.0,14.2,27.4,118,116,19.6,2.2
38,2023-02-11,33-169,PHI,AWAY,BRK,W (+3),1,36:42,.605,.500,6.9,11.6,9.5,37.0,1.5,2.5,11.1,35.9,121,111,23.3,9.8
39,2023-02-13,33-171,PHI,HOME,HOU,W (+19),1,31:38,.664,.611,0.0,6.6,3.8,46.9,3.1,4.9,12.5,34.6,134,107,26.2,13.4
40,2023-02-15,33-173,PHI,HOME,CLE,W (+6),1,38:19,.696,.591,0.0,12.5,6.9,45.9,1.4,2.4,18.0,20.5,140,125,21.2,9.5
41,2023-02-23,33-181,PHI,HOME,MEM,W (+5),1,39:37,.812,.813,0.0,17.3,9.2,38.8,1.2,4.4,17.3,25.5,131,104,27.6,15.4
42,2023-02-25,33-183,PHI,HOME,BOS,L (-3),1,41:23,.526,.375,2.7,13.5,8.1,31.8,3.7,0.0,16.7,26.9,106,115,18.2,2.7
43,2023-02-27,33-185,PHI,HOME,MIA,L (-2),1,39:16,.571,.464,3.6,14.6,9.7,56.7,2.7,0.0,18.6,25.5,120,112,20.0,9.3
44,2023-03-01,33-187,PHI,AWAY,MIA,W (+23),1,36:37,.636,.533,7.1,17.7,12.4,19.8,0.0,2.7,14.2,27.4,126,108,18.2,2.9
45,2023-03-02,33-188,PHI,AWAY,DAL,L (-7),1,38:12,.922,.875,0.0,13.6,7.4,46.7,0.0,0.0,29.1,24.8,142,140,25.7,8.3
