,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,34-020,BRK,HOME,NOP,L (-22),1,31:46,.641,.571,0.0,8.9,4.5,12.9,1.5,8.0,13.8,37.9,111,126,21.8,8.4
1,2022-10-21,34-022,BRK,HOME,TOR,W (+4),1,35:27,.603,.528,2.9,13.9,8.0,29.9,0.0,4.8,18.2,35.1,111,114,18.5,4.3
2,2022-10-24,34-025,BRK,AWAY,MEM,L (-10),1,39:01,.772,.725,3.5,12.9,8.4,16.5,0.0,0.0,4.0,28.1,157,141,30.3,8.1
3,2022-10-26,34-027,BRK,AWAY,MIL,L (-11),1,38:52,.575,.457,0.0,16.8,8.1,17.1,0.0,4.7,14.8,36.8,100,109,19.6,4.5
4,2022-10-27,34-028,BRK,HOME,DAL,L (-4),1,41:14,.716,.619,3.0,6.6,4.7,23.3,2.5,3.1,10.4,31.1,142,125,30.8,11.5
5,2022-10-29,34-030,BRK,HOME,IND,L (-9),1,38:47,.543,.425,2.9,11.0,7.1,8.0,4.0,10.3,11.1,32.6,102,126,21.3,0.6
6,2022-10-31,34-032,BRK,HOME,IND,W (+7),1,39:04,.705,.636,0.0,25.7,14.4,31.8,1.2,2.6,10.5,32.5,134,104,31.3,9.0
7,2022-11-01,34-033,BRK,HOME,CHI,L (-9),1,37:59,.752,.625,0.0,25.3,13.9,30.8,1.3,4.3,24.8,35.6,116,109,25.5,8.4
8,2022-11-04,34-036,BRK,AWAY,WAS,W (+42),1,33:11,.592,.524,0.0,27.1,15.0,44.8,0.0,3.0,7.8,36.0,128,91,26.0,10.5
9,2022-11-05,34-037,BRK,AWAY,CHO,W (+4),1,37:20,.596,.525,0.0,22.9,11.3,12.8,0.0,8.8,11.7,31.5,106,100,19.1,3.1
10,2022-11-07,34-039,BRK,AWAY,DAL,L (-2),1,38:40,.563,.525,2.9,11.6,6.6,22.0,2.9,2.8,11.5,31.9,112,112,17.3,3.3
11,2022-11-09,34-041,BRK,HOME,NYK,W (+27),1,34:32,.620,.553,3.0,27.8,16.5,59.4,1.4,6.3,4.1,30.9,142,81,32.3,20.8
