,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-11-09,25-281,POR,AWAY,CHO,W (+10),1,22:18,.799,.857,21.5,18.9,19.8,15.9,0.0,12.7,25.5,24.6,121,98,14.0,7.4
1,2022-11-10,25-282,POR,AWAY,NOP,W (+11),1,27:16,.750,.750,3.7,28.0,15.5,16.6,0.0,0.0,0.0,6.7,170,102,8.1,1.1
2,2022-11-12,25-284,POR,AWAY,DAL,L (-5),1,33:29,.500,.500,6.4,22.1,13.7,0.0,3.0,0.0,0.0,2.7,142,120,4.2,-5.2
3,2022-12-19,25-321,POR,AWAY,OKC,L (-2),1,32:03,.922,1.000,7.1,17.8,12.5,11.8,0.0,5.3,0.0,6.5,198,124,12.2,4.7
4,2022-12-30,25-332,POR,AWAY,GSW,L (-6),1,31:45,.621,.667,6.6,15.4,11.1,8.4,1.6,3.1,23.7,11.1,108,121,7.0,-3.6
5,2023-01-28,25-361,POR,HOME,TOR,L (-18),1,22:07,.509,.500,6.6,11.1,9.0,6.5,2.4,7.0,22.5,19.8,88,131,4.8,-6.2
6,2023-02-03,26-002,POR,AWAY,WAS,W (+8),1,17:51,.434,.250,18.8,7.5,13.6,13.3,2.9,5.3,0.0,14.7,137,121,6.1,-2.3
7,2023-02-04,26-003,POR,AWAY,CHI,L (-8),1,26:16,.500,.500,4.4,22.8,12.3,0.0,0.0,3.4,0.0,13.9,107,133,5.8,-7.2
8,2023-02-06,26-005,POR,HOME,MIL,L (-19),1,25:33,.556,.556,0.0,22.1,9.1,34.0,0.0,0.0,10.0,16.8,107,124,7.8,0.8
9,2023-02-08,26-007,POR,HOME,GSW,W (+3),1,16:49,.833,.833,25.2,19.0,21.7,9.9,2.9,0.0,14.3,17.7,152,119,10.3,4.5
10,2023-02-10,26-009,POR,HOME,OKC,L (-9),1,28:30,.970,1.000,12.0,30.6,22.1,8.7,0.0,2.9,30.1,10.4,151,143,10.1,-0.6
11,2023-02-13,26-012,POR,HOME,LAL,W (+12),1,23:47,.500,.500,12.1,25.2,18.5,5.1,0.0,3.5,0.0,11.0,132,114,7.1,-7.2
12,2023-02-14,26-013,POR,HOME,WAS,L (-25),1,27:29,.307,.250,17.1,34.9,23.7,10.2,1.8,15.2,17.0,9.5,103,120,9.3,-1.8
13,2023-02-23,26-022,POR,AWAY,SAC,L (-17),1,24:05,.571,.571,17.3,16.6,17.0,17.1,0.0,0.0,0.0,12.4,148,136,8.9,-4.7
14,2023-02-26,26-025,POR,HOME,HOU,W (+17),1,22:24,.703,1.000,11.9,26.2,20.2,0.0,2.2,5.8,13.5,15.0,135,105,9.4,-2.7
15,2023-02-28,26-027,POR,AWAY,GSW,L (-18),1,25:13,.644,.667,4.4,37.0,19.3,22.9,0.0,0.0,20.5,8.5,129,123,7.1,-1.7
16,2023-03-01,26-028,POR,HOME,NOP,L (-11),1,17:40,1.000,1.000,6.5,20.4,13.3,8.2,0.0,8.5,0.0,2.5,214,128,3.8,-2.0
17,2023-03-03,26-030,POR,AWAY,ATL,L (-18),1,22:27,.571,.571,5.1,36.7,19.4,0.0,0.0,3.3,22.2,17.1,89,127,5.5,-9.1
18,2023-03-05,26-032,POR,AWAY,ORL,W (+3),1,26:05,.838,.833,0.0,25.7,13.1,18.5,1.8,0.0,11.4,14.1,154,117,13.5,4.5
19,2023-03-06,26-033,POR,AWAY,DET,W (+6),1,19:13,.822,1.000,6.1,10.2,8.3,16.4,2.7,9.3,0.0,15.2,178,105,12.2,9.5
20,2023-03-24,26-051,POR,HOME,CHI,L (-28),1,24:49,.761,.714,4.4,34.1,17.4,7.1,4.1,3.5,11.3,16.2,136,121,13.6,3.3
21,2023-03-26,26-053,POR,HOME,OKC,L (-6),1,32:45,.509,.500,7.9,27.9,18.6,16.9,1.5,14.9,30.4,12.9,98,106,11.6,3.8
22,2023-03-27,26-054,POR,HOME,NOP,L (-34),1,23:11,.615,.500,8.1,6.7,7.6,7.7,2.1,3.6,17.0,22.4,110,122,9.3,-1.3
23,2023-03-29,26-056,POR,HOME,SAC,L (-40),1,25:17,.194,.167,13.3,28.3,20.1,36.2,0.0,8.6,13.4,25.2,60,115,3.2,-8.7
24,2023-03-31,26-058,POR,HOME,SAC,L (-24),1,28:03,.688,.700,20.4,26.7,23.1,6.1,3.4,3.5,13.3,22.8,129,133,17.8,-0.7
25,2023-04-02,26-060,POR,AWAY,MIN,W (+2),1,28:36,.505,.500,3.3,17.7,9.4,9.7,3.4,9.5,14.4,20.8,92,98,10.5,1.2
26,2023-04-04,26-062,POR,AWAY,MEM,L (-10),1,31:19,.364,.364,17.0,7.0,12.5,12.8,0.0,15.7,8.3,16.4,103,119,9.4,-4.6
27,2023-04-06,26-064,POR,AWAY,SAS,L (-2),1,27:47,.803,.808,0.0,33.8,18.7,9.7,0.0,12.2,0.0,20.8,157,111,23.9,11.6
