,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,28-221,POR,AWAY,SAC,W (+7),1,35:20,.688,.591,5.7,22.0,12.8,4.2,2.7,0.0,5.6,21.2,141,106,19.4,5.6
1,2022-10-21,28-223,POR,HOME,PHO,W (+2),1,40:06,.457,.500,0.0,12.0,5.9,8.3,0.0,3.9,10.2,11.1,95,109,5.7,-1.9
2,2022-10-23,28-225,POR,AWAY,LAL,W (+2),1,34:42,.627,.545,0.0,5.6,3.0,4.6,0.0,0.0,7.3,16.6,128,110,9.4,-1.3
3,2022-10-24,28-226,POR,HOME,DEN,W (+25),1,35:30,.653,.577,0.0,5.9,3.3,3.5,0.0,2.3,5.9,22.1,131,121,14.9,-2.6
4,2022-10-26,28-228,POR,HOME,MIA,L (-21),1,28:11,.451,.450,0.0,12.2,6.1,25.1,0.0,0.0,19.7,23.9,86,131,5.1,-8.1
5,2022-10-28,28-230,POR,HOME,HOU,W (+14),1,35:01,.588,.545,3.7,11.7,8.2,13.3,2.7,2.4,19.0,19.0,111,110,12.5,-2.1
6,2022-11-02,28-235,POR,HOME,MEM,L (-5),1,38:17,.546,.472,0.0,15.7,6.8,13.8,0.0,2.3,15.9,26.1,100,115,12.7,-1.4
7,2022-11-04,28-237,POR,AWAY,PHO,W (+2),1,38:42,.687,.618,0.0,5.6,3.1,20.3,0.0,2.5,12.1,28.4,130,119,21.9,3.8
8,2022-11-05,28-238,POR,AWAY,PHO,L (-20),1,25:59,.554,.450,9.0,12.9,11.0,24.5,0.0,3.6,19.2,27.1,100,111,9.9,1.6
9,2022-11-07,28-240,POR,AWAY,MIA,W (+3),1,34:59,.767,.767,4.4,18.1,11.9,10.7,0.0,3.0,16.7,24.9,117,116,16.2,2.6
10,2022-11-10,28-243,POR,AWAY,NOP,W (+11),1,41:55,.608,.600,7.3,13.0,10.1,17.9,4.9,2.2,8.3,26.5,120,94,24.1,9.6
11,2022-11-12,28-245,POR,AWAY,DAL,L (-5),1,39:00,.751,.705,5.5,12.6,8.8,12.3,0.0,6.5,7.5,30.5,144,125,29.4,12.6
12,2022-11-15,28-248,POR,HOME,SAS,W (+7),1,37:20,.783,.800,7.1,18.8,13.4,4.4,1.3,0.0,9.7,25.0,143,113,23.4,8.2
13,2022-11-17,28-250,POR,HOME,BRK,L (-2),1,37:15,.192,.192,0.0,17.9,7.5,11.6,1.3,2.6,7.1,15.8,49,109,-0.6,-11.2
14,2022-11-19,28-252,POR,HOME,UTA,L (-5),1,37:28,.636,.636,0.0,5.8,3.0,3.9,2.6,4.9,0.0,12.6,127,119,12.2,1.2
15,2022-11-21,28-254,POR,AWAY,MIL,L (-8),1,35:06,.461,.375,3.1,10.8,6.7,7.6,0.0,4.7,9.3,25.3,98,120,10.0,-4.4
16,2022-11-23,28-256,POR,AWAY,CLE,L (-18),1,36:09,.763,.708,0.0,12.4,5.6,14.7,4.6,0.0,22.5,23.6,115,127,16.6,5.5
17,2022-11-25,28-258,POR,AWAY,NYK,W (+3),1,40:18,.681,.575,0.0,2.8,1.4,9.1,0.0,2.1,5.8,37.8,138,125,30.0,5.1
18,2022-11-27,28-260,POR,AWAY,BRK,L (-14),1,40:14,.583,.563,2.7,10.2,6.0,27.3,0.0,0.0,3.9,30.4,119,129,19.9,4.6
19,2022-11-29,28-262,POR,HOME,LAC,L (-6),1,38:12,.621,.604,2.9,5.2,4.1,9.3,2.6,4.3,7.2,32.4,118,120,21.3,2.4
20,2022-11-30,28-263,POR,AWAY,LAL,L (-19),1,35:10,.527,.478,2.9,8.9,5.9,24.1,2.8,2.3,0.0,32.0,122,128,21.5,6.3
21,2022-12-03,28-266,POR,AWAY,UTA,W (+5),1,37:12,.683,.611,0.0,0.0,0.0,23.0,0.0,0.0,4.0,29.1,144,122,24.9,6.6
22,2022-12-04,28-267,POR,HOME,IND,W (+16),1,32:57,.581,.500,10.2,6.3,8.2,15.1,0.0,0.0,7.7,34.3,121,112,18.9,-1.0
23,2022-12-08,28-271,POR,HOME,DEN,L (-1),1,38:29,.537,.467,0.0,9.1,4.4,10.2,1.3,2.0,5.6,20.1,116,128,12.4,-3.8
24,2022-12-10,28-273,POR,HOME,MIN,W (+6),1,39:07,.594,.538,7.0,16.1,11.8,6.9,0.0,0.0,12.3,18.0,123,122,11.4,-3.3
25,2022-12-12,28-275,POR,HOME,MIN,W (+21),1,31:50,.796,.708,7.4,3.0,5.0,8.1,0.0,2.3,11.7,22.2,149,110,18.6,3.5
26,2022-12-14,28-277,POR,AWAY,SAS,W (+16),1,34:49,.628,.615,0.0,11.3,6.9,7.0,1.4,2.0,17.3,22.6,106,112,11.8,-3.9
27,2022-12-16,28-279,POR,AWAY,DAL,L (-20),1,20:53,.354,.278,0.0,0.0,0.0,6.7,0.0,0.0,0.0,20.3,83,134,2.2,-11.1
28,2022-12-19,28-282,POR,AWAY,OKC,L (-2),1,41:54,.617,.583,8.2,13.6,10.9,10.6,2.3,0.0,15.9,25.4,117,124,19.5,-0.2
29,2022-12-21,28-284,POR,AWAY,OKC,L (-3),1,35:29,.555,.571,0.0,18.8,9.3,18.3,0.0,2.6,11.5,23.2,105,113,11.4,-1.6
30,2022-12-23,28-286,POR,AWAY,DEN,L (-13),1,37:20,.658,.654,5.5,18.9,11.1,8.6,1.3,0.0,11.6,19.8,122,124,15.0,2.4
31,2022-12-26,28-289,POR,HOME,CHO,W (+11),1,36:41,.771,.737,14.1,13.5,13.8,24.0,1.3,3.9,4.6,25.1,160,111,31.8,14.3
32,2022-12-30,28-293,POR,AWAY,GSW,L (-6),1,40:52,.563,.531,2.6,4.8,3.7,18.0,0.0,0.0,15.1,20.3,114,131,12.4,-2.6
33,2023-01-02,28-296,POR,HOME,DET,W (+29),1,27:54,.859,.853,4.1,3.7,3.9,0.0,1.6,0.0,8.7,33.6,146,104,27.7,11.5
34,2023-01-04,28-298,POR,AWAY,MIN,L (-7),1,31:38,.781,.714,4.1,17.3,10.5,7.3,4.8,0.0,0.0,23.1,169,115,24.2,16.9
35,2023-01-06,28-300,POR,AWAY,IND,L (-9),1,37:23,.460,.400,2.6,8.8,5.5,8.5,0.0,0.0,10.9,19.7,90,108,7.1,-6.4
36,2023-01-08,28-302,POR,AWAY,TOR,L (-12),1,39:35,.513,.409,6.4,8.1,7.3,0.0,1.2,2.0,0.0,14.5,120,121,10.7,-0.9
37,2023-01-10,28-304,POR,HOME,ORL,L (-3),1,40:33,.421,.421,5.6,13.2,9.1,3.6,1.2,6.6,9.5,22.3,89,112,8.3,-6.6
38,2023-01-12,28-306,POR,HOME,CLE,L (-6),1,35:55,.577,.563,0.0,3.1,1.7,4.6,2.7,4.0,17.3,28.9,95,117,11.2,-1.9
39,2023-01-14,28-308,POR,HOME,DAL,W (+17),1,34:26,.810,.778,4.2,14.3,9.7,13.7,2.9,3.9,16.8,15.5,145,120,16.7,3.1
40,2023-01-15,28-309,POR,HOME,DAL,W (+17),1,24:48,.919,.900,5.7,12.6,9.7,6.6,2.0,0.0,8.4,20.8,161,125,16.1,7.4
41,2023-01-17,28-311,POR,AWAY,DEN,L (-9),1,33:26,.551,.533,0.0,14.0,7.5,10.3,2.9,0.0,0.0,21.9,114,120,13.3,2.2
42,2023-01-19,28-313,POR,HOME,PHI,L (-10),1,39:19,.721,.643,0.0,17.0,7.0,0.0,0.0,0.0,10.7,20.2,129,113,16.1,3.9
43,2023-01-22,28-316,POR,HOME,LAL,L (-9),1,34:39,.510,.438,2.7,11.2,6.2,4.8,1.4,0.0,9.7,26.5,98,127,9.5,-7.7
44,2023-01-23,28-317,POR,HOME,SAS,W (+20),1,27:39,.167,.167,5.1,4.1,4.6,6.5,0.0,2.8,10.0,15.7,60,134,-0.8,-19.6
45,2023-01-25,28-319,POR,HOME,UTA,W (+10),1,42:20,.598,.600,0.0,13.2,7.5,5.6,2.3,2.3,5.9,17.9,117,123,15.9,-3.9
46,2023-01-28,28-322,POR,HOME,TOR,L (-18),1,40:46,.566,.500,0.0,24.2,13.1,12.0,1.3,3.8,4.2,29.0,113,131,20.6,1.7
47,2023-01-30,28-324,POR,HOME,ATL,W (+4),1,34:55,.615,.588,0.0,6.0,3.6,4.3,0.0,4.3,10.1,27.6,106,137,12.8,-5.8
48,2023-02-01,28-326,POR,AWAY,MEM,W (+10),1,19:52,.634,.542,0.0,16.5,8.5,9.1,0.0,4.8,0.0,30.7,134,114,14.3,7.8
49,2023-02-03,28-328,POR,AWAY,WAS,W (+8),1,36:03,.470,.313,0.0,29.6,13.5,9.9,1.5,0.0,8.6,14.7,107,123,7.7,-6.4
50,2023-02-04,28-329,POR,AWAY,CHI,L (-8),1,39:42,.454,.423,0.0,18.9,8.2,12.7,0.0,0.0,12.3,18.7,92,136,7.4,-8.2
51,2023-02-06,28-331,POR,HOME,MIL,L (-19),1,36:20,.428,.346,0.0,11.7,4.8,0.0,0.0,5.9,0.0,18.0,83,122,6.2,-6.9
52,2023-02-08,28-333,POR,HOME,GSW,W (+3),1,40:14,.709,.625,3.5,8.0,6.0,3.4,0.0,2.5,20.5,20.6,119,127,13.8,-4.5
53,2023-02-10,28-335,POR,HOME,OKC,L (-9),1,36:50,.757,.692,0.0,15.8,8.5,8.3,0.0,2.2,20.8,23.2,122,146,14.4,-5.3
54,2023-02-26,28-351,POR,HOME,HOU,W (+17),1,32:19,.597,.550,4.1,12.1,8.7,4.3,1.5,0.0,26.9,21.0,93,115,6.0,-11.7
55,2023-02-28,28-353,POR,AWAY,GSW,L (-18),1,36:57,.508,.324,0.0,18.0,8.2,12.8,1.3,0.0,7.8,30.6,106,125,15.5,-5.2
56,2023-03-01,28-354,POR,HOME,NOP,L (-11),1,37:31,.761,.679,0.0,12.8,6.2,14.2,0.0,2.0,9.8,24.2,147,135,21.8,6.9
57,2023-03-03,28-356,POR,AWAY,ATL,L (-18),1,39:11,.394,.344,2.9,14.0,8.0,14.1,2.4,5.7,10.1,21.5,88,124,10.8,-4.8
58,2023-03-05,28-358,POR,AWAY,ORL,W (+3),1,38:36,.585,.464,3.0,14.5,8.9,26.6,1.2,4.7,14.9,21.9,120,116,16.7,0.4
59,2023-03-06,28-359,POR,AWAY,DET,W (+6),1,40:15,.626,.579,2.9,12.2,8.0,4.4,1.3,6.6,8.8,27.1,110,109,18.7,0.0
60,2023-03-08,28-361,POR,AWAY,BOS,L (-22),1,32:39,.542,.542,3.2,16.0,9.6,0.0,0.0,0.0,14.3,18.9,88,118,6.0,-4.4
61,2023-03-10,28-363,POR,AWAY,PHI,L (-1),1,42:06,.726,.731,6.5,21.2,14.6,6.9,1.2,0.0,5.7,19.5,142,128,20.9,2.9
62,2023-03-12,29-000,POR,AWAY,NOP,L (-17),1,19:14,.400,.286,0.0,11.3,5.6,26.3,2.4,0.0,10.2,21.4,95,123,5.9,-4.5
