,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-11-04,26-223,POR,AWAY,PHO,W (+2),1,31:37,.500,.500,8.2,24.2,16.9,40.3,3.2,0.0,20.0,21.0,110,105,13.2,3.4
1,2022-11-05,26-224,POR,AWAY,PHO,L (-20),1,21:01,.278,.278,5.6,5.3,5.4,18.0,2.4,4.4,10.0,21.4,64,107,1.0,-7.5
2,2022-11-09,26-228,POR,AWAY,CHO,W (+10),1,26:14,.500,.500,6.1,3.2,4.2,10.6,0.0,0.0,33.3,16.0,80,114,1.2,-11.2
3,2022-11-10,26-229,POR,AWAY,NOP,W (+11),1,38:23,.387,.292,8.0,14.2,11.0,22.6,0.0,2.5,0.0,18.6,110,104,10.5,-2.7
4,2022-11-23,26-242,POR,AWAY,CLE,L (-18),1,28:02,.250,.250,8.8,10.7,9.6,32.5,4.0,3.6,0.0,17.2,99,127,6.5,-1.8
5,2022-11-25,26-244,POR,AWAY,NYK,W (+3),1,46:23,.322,.300,10.2,17.0,13.7,11.8,0.0,0.0,0.0,10.4,109,122,6.5,-6.6
6,2022-11-27,26-246,POR,AWAY,BRK,L (-14),1,37:11,.643,.600,2.9,22.1,11.3,27.1,0.0,0.0,21.6,17.6,114,128,11.1,-1.2
7,2022-11-29,26-248,POR,HOME,LAC,L (-6),1,33:44,.460,.400,6.6,32.6,20.3,7.8,1.5,0.0,15.5,17.0,96,115,8.5,-9.0
8,2022-11-30,26-249,POR,AWAY,LAL,L (-19),1,36:18,.955,.955,2.8,11.5,7.1,17.6,0.0,0.0,21.4,16.9,145,135,16.6,3.5
9,2022-12-03,26-252,POR,AWAY,UTA,W (+5),1,39:21,.333,.333,5.3,13.0,9.2,15.3,3.7,2.5,40.0,5.5,97,108,7.6,0.6
10,2022-12-17,26-266,POR,AWAY,HOU,W (+12),1,27:37,.250,.250,4.0,7.9,6.0,9.1,7.5,0.0,20.0,8.2,75,94,4.5,-0.4
