,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-11-02,25-243,PHI,HOME,WAS,L (-10),1,15:42,.410,.500,0.0,0.0,0.0,17.0,3.3,0.0,0.0,7.4,115,129,2.2,-3.1
1,2022-11-12,25-253,PHI,HOME,ATL,W (+12),1,29:52,.300,.300,0.0,7.8,4.3,0.0,1.6,0.0,0.0,7.6,58,111,0.7,-6.9
2,2022-11-13,25-254,PHI,HOME,UTA,W (+7),1,27:27,.500,.500,4.4,17.8,11.8,9.1,9.0,3.1,0.0,3.3,139,85,9.5,8.1
3,2022-12-13,25-284,PHI,HOME,SAC,W (+20),1,22:23,.901,.929,0.0,8.4,4.8,0.0,0.0,0.0,0.0,16.7,158,109,10.7,3.6
4,2022-12-16,25-287,PHI,HOME,GSW,W (+12),1,21:10,.500,.500,4.9,4.4,4.7,0.0,2.2,4.4,0.0,6.0,119,108,3.6,-0.1
5,2022-12-31,25-302,PHI,AWAY,OKC,W (+19),1,21:36,1.500,1.500,0.0,3.9,2.1,0.0,0.0,0.0,0.0,5.6,300,104,6.4,3.8
6,2023-02-13,25-346,POR,HOME,LAL,W (+12),1,26:29,.778,.778,3.6,18.9,11.1,9.8,1.8,9.4,10.0,16.5,139,109,14.6,8.8
7,2023-02-14,25-347,POR,HOME,WAS,L (-25),1,30:09,.250,.250,0.0,5.3,2.0,4.6,6.7,0.0,20.0,7.3,52,124,2.0,-7.6
8,2023-02-23,25-356,POR,AWAY,SAC,L (-17),1,26:49,.460,.500,0.0,19.9,8.7,9.1,3.5,0.0,15.5,10.2,88,127,4.3,-7.4
9,2023-02-26,25-359,POR,HOME,HOU,W (+17),1,35:39,.667,.667,3.7,5.5,4.8,7.1,2.7,1.8,0.0,7.7,152,114,8.0,-0.7
10,2023-02-28,25-361,POR,AWAY,GSW,L (-18),1,25:01,1.071,1.071,13.4,0.0,7.3,0.0,1.9,6.3,0.0,12.4,194,124,16.2,15.6
11,2023-03-01,25-362,POR,HOME,NOP,L (-11),1,38:03,.600,.600,12.0,12.6,12.3,17.0,1.4,7.9,0.0,11.7,151,127,16.8,8.4
12,2023-03-03,25-364,POR,AWAY,ATL,L (-18),1,32:24,.571,.571,7.1,12.7,9.6,8.1,5.8,2.3,12.5,10.5,118,119,10.5,2.3
13,2023-03-05,26-001,POR,AWAY,ORL,W (+3),1,32:10,.403,.357,14.6,13.9,14.2,8.3,1.5,0.0,11.8,11.0,110,120,6.1,-6.1
14,2023-03-06,26-002,POR,AWAY,DET,W (+6),1,37:29,.500,.500,0.0,7.8,4.3,7.0,1.4,0.0,25.0,5.1,90,114,2.0,-8.2
15,2023-03-08,26-004,POR,AWAY,BOS,L (-22),1,19:41,.167,.167,0.0,5.3,2.7,8.8,2.4,0.0,0.0,13.4,43,114,0.2,-8.3
16,2023-03-10,26-006,POR,AWAY,PHI,L (-1),1,19:23,.625,.625,0.0,11.5,6.3,6.7,2.7,4.7,0.0,9.7,129,124,6.0,3.9
17,2023-03-12,26-008,POR,AWAY,NOP,L (-17),1,24:18,.833,.833,0.0,0.0,0.0,0.0,5.7,0.0,25.0,13.9,107,117,7.6,0.3
18,2023-03-14,26-010,POR,HOME,NYK,L (-16),1,38:09,.631,.636,2.3,24.5,11.2,12.4,3.8,2.7,7.8,13.9,124,117,15.3,4.0
19,2023-03-17,26-013,POR,HOME,BOS,L (-14),1,21:24,.607,.556,0.0,4.8,2.5,0.0,4.5,0.0,0.0,20.0,123,126,9.6,3.5
20,2023-03-19,26-015,POR,HOME,LAC,L (-15),1,22:38,.429,.429,5.0,13.5,9.5,0.0,0.0,0.0,0.0,14.1,97,132,3.5,-10.3
21,2023-03-22,26-018,POR,AWAY,UTA,W (+12),1,27:33,.510,.500,3.7,12.2,7.7,8.4,3.3,3.7,14.5,10.5,104,105,6.4,-1.6
22,2023-03-24,26-020,POR,HOME,CHI,L (-28),1,14:05,.644,.833,0.0,0.0,0.0,11.3,3.6,0.0,34.0,18.9,75,133,2.6,-6.5
23,2023-03-26,26-022,POR,HOME,OKC,L (-6),1,32:51,.500,.500,0.0,13.9,7.4,4.2,2.9,0.0,11.1,11.8,96,117,5.3,-3.4
24,2023-03-27,26-023,POR,HOME,NOP,L (-34),1,14:08,.307,.250,0.0,11.0,4.1,0.0,0.0,5.9,0.0,15.3,64,124,1.2,-8.6
25,2023-03-29,26-025,POR,HOME,SAC,L (-40),1,37:08,.581,.500,2.3,11.0,6.2,14.1,2.6,2.9,12.7,9.1,112,118,10.3,-0.4
26,2023-03-31,26-027,POR,HOME,SAC,L (-24),1,23:46,.820,.750,0.0,12.6,5.5,5.6,2.0,8.2,29.1,12.3,111,134,6.9,-1.1
27,2023-04-02,26-029,POR,AWAY,MIN,W (+2),1,30:11,.167,.167,3.1,12.6,7.1,0.0,4.8,0.0,0.0,8.5,49,103,0.8,-9.1
