,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,17.0,Shaedon Sharpe,SG,6-6,200,2003-05-30,CA,R,Kentucky
1,24.0,Drew Eubanks,C,6-9,245,1997-02-01,US,4,Oregon State
2,9.0,Jerami Grant,PF,6-8,210,1994-03-12,US,8,Syracuse
3,1.0,Anfernee Simons,SG,6-3,181,1999-06-08,US,4,
4,2.0,Trendon Watford,PF,6-9,240,2000-11-09,US,1,LSU
5,0.0,Damian Lillard,PG,6-2,195,1990-07-15,US,10,Weber State
6,34.0,Jabari Walker,SF,6-9,215,2002-07-30,US,R,Colorado
7,10.0,Nassir Little,SF,6-5,220,2000-02-11,US,3,UNC
8,27.0,Jusuf Nurkić,C,6-11,290,1994-08-23,BA,8,
9,6.0,Keon Johnson,SG,6-5,186,2002-03-10,US,1,Tennessee
10,26.0,Justise Winslow,SF,6-6,222,1996-03-26,US,7,Duke
11,4.0,Matisse Thybulle,SG,6-5,201,1997-03-04,US,3,Washington
12,11.0,Kevin Knox,SF,6-7,215,1999-08-11,US,4,Kentucky
13,5.0,Cam Reddish,SF,6-8,218,1999-09-01,US,3,Duke
14,21.0,John Butler (TW),C,7-1,175,2002-12-04,US,R,Florida State
15,8.0,Skylar Mays,SG,6-4,205,1997-09-05,US,2,LSU
16,23.0,Jeenathan Williams,SG,6-5,205,1999-02-12,US,R,Buffalo
17,50.0,Chance Comanche,C,6-10,210,1996-04-14,US,R,Arizona
18,,Ibou Badji (TW),C,7-1,240,2002-10-13,SN,R,
