,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,40,Harrison Barnes,PF,6-8,225,1992-05-30,US,10,UNC
1,13,Keegan Murray,SF,6-8,215,2000-08-19,US,R,Iowa
2,15,Davion Mitchell,PG,6-2,205,1998-09-05,US,1,"Auburn, Baylor"
3,10,Domantas Sabonis,C,6-11,240,1996-05-03,US,6,Gonzaga
4,0,Malik Monk,SG,6-3,200,1998-02-04,US,5,Kentucky
5,9,Kevin Huerter,SG,6-7,190,1998-08-27,US,4,Maryland
6,41,Trey Lyles,PF,6-9,234,1995-11-05,CA,7,Kentucky
7,5,De'Aaron Fox,PG,6-3,185,1997-12-20,US,5,Kentucky
8,7,Chimezie Metu,C,6-9,225,1997-03-22,US,4,USC
9,3,Terence Davis,SG,6-4,201,1997-05-16,US,3,Ole Miss
10,22,Richaun Holmes,C,6-10,235,1993-10-15,US,7,Bowling Green
11,8,Matthew Dellavedova,PG,6-3,200,1990-09-08,AU,8,Saint Mary's
12,25,Alex Len,C,7-0,250,1993-06-16,UA,9,Maryland
13,17,Kessler Edwards,SF,6-8,215,2000-08-09,US,1,Pepperdine
14,23,Keon Ellis (TW),SG,6-6,175,2000-01-08,US,R,"Florida SouthWestern State College, Alabama"
15,35,PJ Dozier,SG,6-6,205,1996-10-25,US,5,South Carolina
16,88,Neemias Queta (TW),C,7-0,245,1999-07-13,PT,1,Utah State University
