,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,28-236,TOR,HOME,CLE,W (+3),1,38:41,.697,.611,2.8,3.5,3.1,20.0,5.1,0.0,8.5,12.9,148,108,16.6,6.7
1,2022-10-21,28-238,TOR,AWAY,BRK,L (-4),1,37:55,.818,.818,3.2,16.5,10.4,35.5,5.4,2.8,0.0,13.3,176,107,25.4,18.0
2,2022-10-22,28-239,TOR,AWAY,MIA,L (-3),1,38:49,.354,.278,2.7,3.5,3.1,35.8,3.9,0.0,9.2,12.8,108,117,9.5,-2.9
3,2022-10-24,28-241,TOR,AWAY,MIA,W (+8),1,39:13,.601,.500,5.1,4.9,5.0,41.3,1.3,0.0,9.1,25.2,129,100,21.7,9.8
4,2022-10-26,28-243,TOR,HOME,PHI,W (+10),1,38:50,.563,.500,0.0,20.0,10.2,24.8,2.7,8.6,13.1,19.1,119,110,17.7,4.1
5,2022-10-28,28-245,TOR,HOME,PHI,L (-22),1,34:13,.041,.000,2.9,7.6,4.9,21.3,1.5,0.0,7.5,16.5,37,124,-3.9,-17.1
6,2022-11-06,28-254,TOR,HOME,CHI,W (+9),1,39:20,.598,.523,0.0,13.9,6.2,40.7,0.0,0.0,3.8,26.3,147,119,26.0,9.3
7,2022-11-07,28-255,TOR,AWAY,CHI,L (-14),1,34:22,.694,.684,0.0,12.0,5.2,25.4,2.8,5.4,9.3,27.6,118,108,22.4,13.8
8,2022-11-09,28-257,TOR,HOME,HOU,W (+7),1,35:07,.605,.596,0.0,9.3,4.1,21.4,5.7,2.8,3.6,30.3,139,109,24.8,15.9
9,2022-11-11,28-259,TOR,AWAY,OKC,L (-19),1,28:35,.528,.542,0.0,8.4,4.0,17.0,3.3,0.0,17.4,24.1,97,130,7.9,-5.5
10,2022-11-16,28-264,TOR,HOME,MIA,W (+8),1,39:16,.478,.405,0.0,4.1,1.9,27.6,0.0,0.0,11.1,30.2,118,118,11.6,-4.9
11,2022-11-19,28-267,TOR,AWAY,ATL,L (-2),1,44:27,.363,.250,2.1,2.6,2.4,13.8,0.0,0.0,8.8,20.7,88,123,5.3,-11.8
12,2022-11-26,28-274,TOR,HOME,DAL,W (+5),1,40:58,.580,.472,2.5,16.7,8.6,27.5,1.3,0.0,11.8,26.5,125,110,20.1,4.8
13,2022-11-28,28-276,TOR,HOME,CLE,W (+12),1,32:29,.433,.433,0.0,5.8,3.2,25.0,1.6,0.0,11.8,24.8,88,101,6.8,-3.1
14,2022-11-30,28-278,TOR,AWAY,NOP,L (-18),1,20:10,.125,.125,0.0,36.6,17.4,36.0,2.3,0.0,20.0,21.2,52,116,1.0,-14.9
15,2022-12-02,28-280,TOR,AWAY,BRK,L (-9),1,41:14,.336,.321,0.0,3.0,1.4,20.9,1.2,0.0,11.8,17.4,79,116,2.9,-8.2
16,2022-12-03,28-281,TOR,HOME,ORL,W (+13),1,37:06,.528,.500,0.0,7.2,3.6,21.7,4.0,0.0,24.5,19.0,101,110,9.4,-4.0
17,2022-12-05,28-283,TOR,HOME,BOS,L (-6),1,38:09,.277,.250,2.6,16.1,9.3,10.7,0.0,4.7,6.5,17.5,72,120,3.2,-9.6
18,2022-12-07,28-285,TOR,HOME,LAL,W (+13),1,29:53,.552,.475,3.0,10.3,6.4,32.9,0.0,0.0,11.7,32.3,118,114,17.3,2.6
19,2022-12-09,28-287,TOR,AWAY,ORL,L (-4),1,37:16,.529,.429,0.0,8.9,3.4,26.1,1.3,2.9,10.0,24.1,107,120,14.9,-0.7
20,2022-12-11,28-289,TOR,AWAY,ORL,L (-12),1,42:18,.614,.455,3.0,10.6,6.5,31.2,5.1,0.0,5.8,19.5,134,121,21.0,7.2
21,2022-12-14,28-292,TOR,HOME,SAC,L (-1),1,38:10,.653,.560,0.0,24.5,11.3,20.5,5.0,2.7,6.3,35.5,131,113,33.7,12.0
22,2022-12-16,28-294,TOR,HOME,BRK,L (-3),1,43:09,.709,.667,0.0,19.2,8.1,17.5,1.2,2.2,6.8,31.3,137,123,29.8,9.2
23,2022-12-18,28-296,TOR,HOME,GSW,L (-16),1,34:40,.557,.500,0.0,15.0,6.6,36.5,1.5,0.0,9.2,25.8,129,133,16.4,3.1
24,2022-12-19,28-297,TOR,AWAY,PHI,L (-3),1,41:03,.291,.267,2.8,14.3,8.5,11.7,0.0,3.4,11.5,20.1,66,105,1.9,-9.4
25,2022-12-21,28-299,TOR,AWAY,NYK,W (+7),1,40:14,.543,.500,0.0,3.8,1.6,15.9,4.1,2.4,7.2,30.8,119,117,18.8,5.0
26,2022-12-23,28-301,TOR,AWAY,CLE,W (+11),1,38:41,.676,.625,3.1,21.7,12.4,13.9,1.3,2.9,13.1,17.3,133,111,16.1,3.7
27,2022-12-27,28-305,TOR,HOME,LAC,L (-11),1,22:44,.333,.333,0.0,9.6,4.9,38.1,2.2,0.0,14.3,13.8,98,131,5.7,-4.4
