,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Oct 19, 2022",2022,10,19,9:00p,True,DEN,W,False,123,102,1,0,W 1
1,"Fri, Oct 21, 2022",2022,10,21,8:00p,False,MIN,W,True,132,126,2,0,W 2
2,"Sun, Oct 23, 2022",2022,10,23,7:00p,False,NOP,W,True,122,121,3,0,W 3
3,"Mon, Oct 24, 2022",2022,10,24,8:00p,False,HOU,L,False,108,114,3,1,L 1
4,"Wed, Oct 26, 2022",2022,10,26,9:00p,True,HOU,W,False,109,101,4,1,W 1
5,"Fri, Oct 28, 2022",2022,10,28,9:00p,False,DEN,L,False,101,117,4,2,L 1
6,"Sat, Oct 29, 2022",2022,10,29,9:00p,True,MEM,W,False,124,123,5,2,W 1
7,"Mon, Oct 31, 2022",2022,10,31,9:00p,True,MEM,W,False,121,105,6,2,W 2
8,"Wed, Nov 2, 2022",2022,11,2,8:30p,False,DAL,L,False,100,103,6,3,L 1
9,"Fri, Nov 4, 2022",2022,11,4,10:30p,False,LAL,W,False,130,116,7,3,W 1
10,"Sun, Nov 6, 2022",2022,11,6,10:00p,False,LAC,W,False,110,102,8,3,W 2
11,"Mon, Nov 7, 2022",2022,11,7,10:15p,True,LAL,W,False,139,116,9,3,W 3
12,"Wed, Nov 9, 2022",2022,11,9,7:30p,False,ATL,W,False,125,119,10,3,W 4
13,"Sat, Nov 12, 2022",2022,11,12,6:00p,False,WAS,L,False,112,121,10,4,L 1
14,"Sun, Nov 13, 2022",2022,11,13,7:30p,False,PHI,L,False,98,105,10,5,L 2
15,"Tue, Nov 15, 2022",2022,11,15,9:00p,True,NYK,L,False,111,118,10,6,L 3
16,"Fri, Nov 18, 2022",2022,11,18,9:00p,True,PHO,W,False,134,133,11,6,W 1
17,"Sat, Nov 19, 2022",2022,11,19,10:00p,False,POR,W,False,118,113,12,6,W 2
18,"Mon, Nov 21, 2022",2022,11,21,10:30p,False,LAC,L,False,114,121,12,7,L 1
19,"Wed, Nov 23, 2022",2022,11,23,9:00p,True,DET,L,False,116,125,12,8,L 2
21,"Fri, Nov 25, 2022",2022,11,25,10:00p,False,GSW,L,False,118,129,12,9,L 3
22,"Sat, Nov 26, 2022",2022,11,26,9:00p,False,PHO,L,False,112,113,12,10,L 4
23,"Mon, Nov 28, 2022",2022,11,28,9:00p,True,CHI,L,False,107,114,12,11,L 5
24,"Wed, Nov 30, 2022",2022,11,30,9:00p,True,LAC,W,False,125,112,13,11,W 1
25,"Fri, Dec 2, 2022",2022,12,2,9:00p,True,IND,W,False,139,119,14,11,W 2
26,"Sat, Dec 3, 2022",2022,12,3,9:00p,True,POR,L,False,111,116,14,12,L 1
27,"Wed, Dec 7, 2022",2022,12,7,9:00p,True,GSW,W,False,124,123,15,12,W 1
28,"Fri, Dec 9, 2022",2022,12,9,9:00p,True,MIN,L,False,108,118,15,13,L 1
29,"Sat, Dec 10, 2022",2022,12,10,9:00p,False,DEN,L,False,110,115,15,14,L 2
30,"Tue, Dec 13, 2022",2022,12,13,9:00p,True,NOP,W,False,121,100,16,14,W 1
31,"Thu, Dec 15, 2022",2022,12,15,9:00p,True,NOP,W,True,132,129,17,14,W 2
32,"Sat, Dec 17, 2022",2022,12,17,8:00p,False,MIL,L,False,97,123,17,15,L 1
33,"Mon, Dec 19, 2022",2022,12,19,7:00p,False,CLE,L,False,99,122,17,16,L 2
34,"Tue, Dec 20, 2022",2022,12,20,7:00p,False,DET,W,False,126,111,18,16,W 1
35,"Thu, Dec 22, 2022",2022,12,22,9:00p,True,WAS,W,False,120,112,19,16,W 2
36,"Mon, Dec 26, 2022",2022,12,26,8:00p,False,SAS,L,False,122,126,19,17,L 1
37,"Wed, Dec 28, 2022",2022,12,28,10:00p,False,GSW,L,False,107,112,19,18,L 2
38,"Fri, Dec 30, 2022",2022,12,30,10:00p,False,SAC,L,False,125,126,19,19,L 3
39,"Sat, Dec 31, 2022",2022,12,31,9:00p,True,MIA,L,False,123,126,19,20,L 4
40,"Tue, Jan 3, 2023",2023,1,3,9:00p,True,SAC,L,False,115,117,19,21,L 5
42,"Thu, Jan 5, 2023",2023,1,5,8:00p,False,HOU,W,False,131,114,20,21,W 1
43,"Sat, Jan 7, 2023",2023,1,7,8:00p,False,CHI,L,False,118,126,20,22,L 1
44,"Sun, Jan 8, 2023",2023,1,8,6:00p,False,MEM,L,False,118,123,20,23,L 2
45,"Tue, Jan 10, 2023",2023,1,10,9:00p,True,CLE,W,False,116,114,21,23,W 1
46,"Fri, Jan 13, 2023",2023,1,13,9:00p,True,ORL,W,False,112,108,22,23,W 2
47,"Sat, Jan 14, 2023",2023,1,14,9:00p,True,PHI,L,False,117,118,22,24,L 1
48,"Mon, Jan 16, 2023",2023,1,16,4:00p,False,MIN,W,False,126,125,23,24,W 1
49,"Wed, Jan 18, 2023",2023,1,18,9:00p,True,LAC,W,False,126,103,24,24,W 2
50,"Fri, Jan 20, 2023",2023,1,20,9:00p,True,BRK,L,False,106,117,24,25,L 1
51,"Mon, Jan 23, 2023",2023,1,23,9:00p,True,CHO,W,False,120,102,25,25,W 1
52,"Wed, Jan 25, 2023",2023,1,25,10:00p,False,POR,L,False,124,134,25,26,L 1
53,"Sat, Jan 28, 2023",2023,1,28,9:00p,True,DAL,W,False,108,100,26,26,W 1
54,"Wed, Feb 1, 2023",2023,2,1,9:00p,True,TOR,W,False,131,128,27,26,W 2
55,"Fri, Feb 3, 2023",2023,2,3,9:00p,True,ATL,L,False,108,115,27,27,L 1
56,"Mon, Feb 6, 2023",2023,2,6,9:00p,True,DAL,L,False,111,124,27,28,L 2
57,"Wed, Feb 8, 2023",2023,2,8,9:00p,True,MIN,L,False,118,143,27,29,L 3
58,"Fri, Feb 10, 2023",2023,2,10,7:30p,False,TOR,W,False,122,116,28,29,W 1
59,"Sat, Feb 11, 2023",2023,2,11,7:30p,False,NYK,L,False,120,126,28,30,L 1
60,"Mon, Feb 13, 2023",2023,2,13,7:00p,False,IND,W,False,123,117,29,30,W 1
61,"Wed, Feb 15, 2023",2023,2,15,8:00p,False,MEM,L,False,111,117,29,31,L 1
63,"Thu, Feb 23, 2023",2023,2,23,9:00p,True,OKC,W,True,120,119,30,31,W 1
64,"Sat, Feb 25, 2023",2023,2,25,9:00p,True,SAS,W,False,118,102,31,31,W 2
65,"Tue, Feb 28, 2023",2023,2,28,9:00p,True,SAS,L,False,94,102,31,32,L 1
66,"Fri, Mar 3, 2023",2023,3,3,8:00p,False,OKC,L,False,103,130,31,33,L 2
67,"Sun, Mar 5, 2023",2023,3,5,7:00p,False,OKC,L,False,119,129,31,34,L 3
68,"Tue, Mar 7, 2023",2023,3,7,8:30p,False,DAL,L,False,116,120,31,35,L 4
69,"Thu, Mar 9, 2023",2023,3,9,7:00p,False,ORL,W,False,131,124,32,35,W 1
70,"Sat, Mar 11, 2023",2023,3,11,7:00p,False,CHO,W,False,119,111,33,35,W 2
71,"Mon, Mar 13, 2023",2023,3,13,7:30p,False,MIA,L,False,115,119,33,36,L 1
72,"Sat, Mar 18, 2023",2023,3,18,9:00p,True,BOS,W,False,118,117,34,36,W 1
73,"Mon, Mar 20, 2023",2023,3,20,9:00p,True,SAC,W,False,128,120,35,36,W 2
74,"Wed, Mar 22, 2023",2023,3,22,9:00p,True,POR,L,False,115,127,35,37,L 1
75,"Fri, Mar 24, 2023",2023,3,24,9:00p,True,MIL,L,False,116,144,35,38,L 2
76,"Sat, Mar 25, 2023",2023,3,25,10:00p,False,SAC,L,False,113,121,35,39,L 3
77,"Mon, Mar 27, 2023",2023,3,27,9:00p,True,PHO,L,False,103,117,35,40,L 4
78,"Wed, Mar 29, 2023",2023,3,29,8:00p,False,SAS,W,False,128,117,36,40,W 1
79,"Fri, Mar 31, 2023",2023,3,31,7:30p,False,BOS,L,False,114,122,36,41,L 1
80,"Sun, Apr 2, 2023",2023,4,2,3:30p,False,BRK,L,False,110,111,36,42,L 2
81,"Tue, Apr 4, 2023",2023,4,4,9:00p,True,LAL,L,True,133,135,36,43,L 3
82,"Thu, Apr 6, 2023",2023,4,6,9:00p,True,OKC,L,False,98,114,36,44,L 4
84,"Sat, Apr 8, 2023",2023,4,8,3:30p,True,DEN,W,False,118,114,37,44,W 1
85,"Sun, Apr 9, 2023",2023,4,9,3:30p,False,LAL,L,False,117,128,37,45,L 1
