,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-12-17,23-168,OKC,HOME,MEM,W (+6),1,26:24,.810,.792,0.0,10.1,5.1,0.0,1.8,0.0,12.3,25.7,124,107,15.3,6.4
1,2023-02-01,23-214,OKC,AWAY,HOU,L (-6),1,20:32,.250,.250,0.0,0.0,0.0,13.1,2.4,0.0,0.0,11.4,80,122,1.2,-10.0
2,2023-02-24,23-237,OKC,AWAY,PHO,L (-9),1,35:48,.824,.824,0.0,19.6,9.3,0.0,0.0,0.0,0.0,19.9,155,127,21.0,6.5
3,2023-02-26,23-239,OKC,HOME,SAC,L (-9),1,27:46,.758,.727,0.0,0.0,0.0,16.9,0.0,0.0,11.2,28.0,138,132,16.4,4.3
4,2023-02-28,23-241,OKC,HOME,SAC,L (-6),1,22:18,.800,.800,0.0,11.3,4.6,5.9,4.1,0.0,0.0,9.1,155,114,8.6,3.8
5,2023-03-03,23-244,OKC,HOME,UTA,W (+27),1,26:58,.531,.531,3.6,4.6,4.0,12.9,1.7,0.0,0.0,24.3,118,106,12.3,2.2
6,2023-03-08,23-249,OKC,AWAY,PHO,L (-31),1,19:16,.322,.188,5.3,0.0,2.7,8.2,2.5,0.0,9.7,22.7,72,134,2.2,-11.8
7,2023-03-12,23-253,OKC,AWAY,SAS,W (+12),1,28:45,.313,.313,0.0,15.8,8.0,10.2,0.0,0.0,0.0,11.7,77,94,2.7,-8.5
8,2023-03-28,23-269,OKC,HOME,CHO,L (-3),1,31:44,.783,.778,3.4,3.2,3.3,4.5,0.0,0.0,4.5,27.9,147,132,24.7,5.8
9,2023-03-29,23-270,OKC,HOME,DET,W (+1),1,33:24,.423,.333,0.0,15.1,7.2,0.0,0.0,0.0,12.3,21.8,79,119,2.8,-15.5
