,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,27-114,WAS,AWAY,IND,W (+7),1,21:22,.509,.417,10.2,17.6,14.2,35.9,4.4,0.0,12.7,14.9,132,98,11.0,8.4
1,2022-10-21,27-116,WAS,HOME,CHI,W (+2),1,26:27,.563,.563,0.0,16.5,9.4,16.1,1.9,3.5,0.0,14.4,122,106,10.0,3.0
2,2022-10-23,27-118,WAS,AWAY,CLE,L (-10),1,26:30,.813,.813,0.0,12.8,7.2,36.4,0.0,0.0,11.1,16.1,150,121,12.3,8.1
3,2022-10-25,27-120,WAS,HOME,DET,W (+21),1,29:38,.461,.438,4.2,16.5,11.0,24.8,0.0,0.0,0.0,14.7,125,106,9.0,-3.3
4,2022-10-28,27-123,WAS,HOME,IND,L (-10),1,31:09,.282,.250,0.0,9.1,3.9,48.8,0.0,3.0,10.1,13.7,104,128,8.1,-2.3
5,2022-10-30,27-125,WAS,AWAY,BOS,L (-18),1,27:18,.202,.143,0.0,30.8,12.6,9.7,0.0,0.0,0.0,11.6,59,121,1.6,-12.2
6,2022-10-31,27-126,WAS,HOME,PHI,L (-7),1,35:08,.663,.615,0.0,11.4,5.3,19.2,4.2,0.0,17.3,22.0,115,117,16.0,2.5
7,2022-11-02,27-128,WAS,AWAY,PHI,W (+10),1,24:00,.475,.400,0.0,4.8,2.7,29.3,2.2,0.0,0.0,12.8,130,124,8.4,-0.5
8,2022-11-04,27-130,WAS,HOME,BRK,L (-42),1,22:43,.333,.333,0.0,16.3,7.3,41.0,0.0,0.0,33.3,18.0,64,137,2.0,-12.1
9,2022-11-06,27-132,WAS,AWAY,MEM,L (-6),1,33:09,.699,.667,0.0,0.0,0.0,4.7,1.5,0.0,0.0,16.9,145,115,13.7,3.7
10,2022-11-07,27-133,WAS,AWAY,CHO,W (+8),1,32:27,.508,.500,7.8,8.2,8.0,7.9,0.0,2.1,11.3,12.3,111,107,6.9,-3.0
11,2022-11-10,27-136,WAS,HOME,DAL,W (+8),1,19:22,.500,.500,0.0,4.9,2.7,22.2,0.0,0.0,14.3,15.8,101,112,3.6,-7.2
12,2022-11-12,27-138,WAS,HOME,UTA,W (+9),1,29:11,.278,.278,4.0,21.0,13.1,36.4,0.0,0.0,0.0,14.0,109,116,7.9,-5.4
13,2022-11-13,27-139,WAS,HOME,MEM,W (+10),1,27:22,.460,.450,3.8,16.9,10.7,36.3,3.5,2.6,15.5,20.5,102,88,11.3,3.8
14,2022-11-16,27-142,WAS,HOME,OKC,L (-1),1,27:16,.786,.786,0.0,13.5,6.8,19.1,3.6,0.0,0.0,11.0,170,120,12.2,5.2
15,2022-11-18,27-144,WAS,HOME,MIA,W (+1),1,26:22,.375,.375,0.0,17.9,9.4,28.7,0.0,0.0,0.0,13.7,100,102,5.8,-5.7
16,2022-11-27,27-153,WAS,AWAY,BOS,L (-9),1,23:41,1.000,1.000,0.0,18.4,9.1,50.9,0.0,0.0,0.0,16.1,202,144,18.5,17.2
