,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Sat, Apr 16, 2016",2016,4,16,3:30p,True,HOU,W,False,104,78,1,0,W 1
1,"Mon, Apr 18, 2016",2016,4,18,10:30p,True,HOU,W,False,115,106,2,0,W 2
2,"Thu, Apr 21, 2016",2016,4,21,9:30p,False,HOU,L,False,96,97,2,1,L 1
3,"Sun, Apr 24, 2016",2016,4,24,3:30p,False,HOU,W,False,121,94,3,1,W 1
4,"Wed, Apr 27, 2016",2016,4,27,10:30p,True,HOU,W,False,114,81,4,1,W 2
6,"Sun, May 1, 2016",2016,5,1,3:30p,True,POR,W,False,118,106,5,1,W 3
7,"Tue, May 3, 2016",2016,5,3,10:30p,True,POR,W,False,110,99,6,1,W 4
8,"Sat, May 7, 2016",2016,5,7,8:30p,False,POR,L,False,108,120,6,2,L 1
9,"Mon, May 9, 2016",2016,5,9,10:30p,False,POR,W,True,132,125,7,2,W 1
10,"Wed, May 11, 2016",2016,5,11,10:30p,True,POR,W,False,125,121,8,2,W 2
12,"Mon, May 16, 2016",2016,5,16,9:00p,True,OKC,L,False,102,108,8,3,L 1
13,"Wed, May 18, 2016",2016,5,18,9:00p,True,OKC,W,False,118,91,9,3,W 1
14,"Sun, May 22, 2016",2016,5,22,8:00p,False,OKC,L,False,105,133,9,4,L 1
15,"Tue, May 24, 2016",2016,5,24,9:00p,False,OKC,L,False,94,118,9,5,L 2
16,"Thu, May 26, 2016",2016,5,26,9:00p,True,OKC,W,False,120,111,10,5,W 1
17,"Sat, May 28, 2016",2016,5,28,9:00p,False,OKC,W,False,108,101,11,5,W 2
18,"Mon, May 30, 2016",2016,5,30,9:00p,True,OKC,W,False,96,88,12,5,W 3
20,"Thu, Jun 2, 2016",2016,6,2,9:00p,True,CLE,W,False,104,89,13,5,W 4
21,"Sun, Jun 5, 2016",2016,6,5,8:00p,True,CLE,W,False,110,77,14,5,W 5
22,"Wed, Jun 8, 2016",2016,6,8,9:00p,False,CLE,L,False,90,120,14,6,L 1
23,"Fri, Jun 10, 2016",2016,6,10,9:00p,False,CLE,W,False,108,97,15,6,W 1
24,"Mon, Jun 13, 2016",2016,6,13,9:00p,True,CLE,L,False,97,112,15,7,L 1
25,"Thu, Jun 16, 2016",2016,6,16,9:00p,False,CLE,L,False,101,115,15,8,L 2
26,"Sun, Jun 19, 2016",2016,6,19,8:00p,True,CLE,L,False,89,93,15,9,L 3
