,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Sun, Apr 17, 2016",2016,4,17,5:30p,True,CHO,W,False,123,91,1,0,W 1
1,"Wed, Apr 20, 2016",2016,4,20,7:00p,True,CHO,W,False,115,103,2,0,W 2
2,"Sat, Apr 23, 2016",2016,4,23,5:30p,False,CHO,L,False,80,96,2,1,L 1
3,"Mon, Apr 25, 2016",2016,4,25,7:00p,False,CHO,L,False,85,89,2,2,L 2
4,"Wed, Apr 27, 2016",2016,4,27,8:00p,True,CHO,L,False,88,90,2,3,L 3
5,"Fri, Apr 29, 2016",2016,4,29,8:00p,False,CHO,W,False,97,90,3,3,W 1
6,"Sun, May 1, 2016",2016,5,1,1:00p,True,CHO,W,False,106,73,4,3,W 2
8,"Tue, May 3, 2016",2016,5,3,8:00p,False,TOR,W,True,102,96,5,3,W 3
9,"Thu, May 5, 2016",2016,5,5,8:00p,False,TOR,L,True,92,96,5,4,L 1
10,"Sat, May 7, 2016",2016,5,7,5:00p,True,TOR,L,False,91,95,5,5,L 2
11,"Mon, May 9, 2016",2016,5,9,8:00p,True,TOR,W,True,94,87,6,5,W 1
12,"Wed, May 11, 2016",2016,5,11,8:00p,False,TOR,L,False,91,99,6,6,L 1
13,"Fri, May 13, 2016",2016,5,13,8:00p,True,TOR,W,False,103,91,7,6,W 1
14,"Sun, May 15, 2016",2016,5,15,3:30p,False,TOR,L,False,89,116,7,7,L 1
