,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Sun, Apr 16, 2017",2017,4,16,6:30p,True,CHI,L,False,102,106,0,1,L 1
1,"Tue, Apr 18, 2017",2017,4,18,8:00p,True,CHI,L,False,97,111,0,2,L 2
2,"Fri, Apr 21, 2017",2017,4,21,7:00p,False,CHI,W,False,104,87,1,2,W 1
3,"Sun, Apr 23, 2017",2017,4,23,6:30p,False,CHI,W,False,104,95,2,2,W 2
4,"Wed, Apr 26, 2017",2017,4,26,8:30p,True,CHI,W,False,108,97,3,2,W 3
5,"Fri, Apr 28, 2017",2017,4,28,8:00p,False,CHI,W,False,105,83,4,2,W 4
7,"Sun, Apr 30, 2017",2017,4,30,1:00p,True,WAS,W,False,123,111,5,2,W 5
8,"Tue, May 2, 2017",2017,5,2,8:00p,True,WAS,W,True,129,119,6,2,W 6
9,"Thu, May 4, 2017",2017,5,4,8:00p,False,WAS,L,False,89,116,6,3,L 1
10,"Sun, May 7, 2017",2017,5,7,6:30p,False,WAS,L,False,102,121,6,4,L 2
11,"Wed, May 10, 2017",2017,5,10,8:00p,True,WAS,W,False,123,101,7,4,W 1
12,"Fri, May 12, 2017",2017,5,12,8:00p,False,WAS,L,False,91,92,7,5,L 1
13,"Mon, May 15, 2017",2017,5,15,8:00p,True,WAS,W,False,115,105,8,5,W 1
15,"Wed, May 17, 2017",2017,5,17,8:30p,True,CLE,L,False,104,117,8,6,L 1
16,"Fri, May 19, 2017",2017,5,19,8:30p,True,CLE,L,False,86,130,8,7,L 2
17,"Sun, May 21, 2017",2017,5,21,8:30p,False,CLE,W,False,111,108,9,7,W 1
18,"Tue, May 23, 2017",2017,5,23,8:30p,False,CLE,L,False,99,112,9,8,L 1
19,"Thu, May 25, 2017",2017,5,25,8:30p,True,CLE,L,False,102,135,9,9,L 2
