,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Sat, Apr 15, 2017",2017,4,15,8:00p,True,MEM,W,False,111,82,1,0,W 1
1,"Mon, Apr 17, 2017",2017,4,17,9:30p,True,MEM,W,False,96,82,2,0,W 2
2,"Thu, Apr 20, 2017",2017,4,20,9:30p,False,MEM,L,False,94,105,2,1,L 1
3,"Sat, Apr 22, 2017",2017,4,22,8:00p,False,MEM,L,True,108,110,2,2,L 2
4,"Tue, Apr 25, 2017",2017,4,25,9:00p,True,MEM,W,False,116,103,3,2,W 1
5,"Thu, Apr 27, 2017",2017,4,27,9:30p,False,MEM,W,False,103,96,4,2,W 2
7,"Mon, May 1, 2017",2017,5,1,9:30p,True,HOU,L,False,99,126,4,3,L 1
8,"Wed, May 3, 2017",2017,5,3,9:30p,True,HOU,W,False,121,96,5,3,W 1
9,"Fri, May 5, 2017",2017,5,5,9:30p,False,HOU,W,False,103,92,6,3,W 2
10,"Sun, May 7, 2017",2017,5,7,9:00p,False,HOU,L,False,104,125,6,4,L 1
11,"Tue, May 9, 2017",2017,5,9,8:00p,True,HOU,W,True,110,107,7,4,W 1
12,"Thu, May 11, 2017",2017,5,11,8:00p,False,HOU,W,False,114,75,8,4,W 2
14,"Sun, May 14, 2017",2017,5,14,3:30p,False,GSW,L,False,111,113,8,5,L 1
15,"Tue, May 16, 2017",2017,5,16,9:00p,False,GSW,L,False,100,136,8,6,L 2
16,"Sat, May 20, 2017",2017,5,20,9:00p,True,GSW,L,False,108,120,8,7,L 3
17,"Mon, May 22, 2017",2017,5,22,9:00p,True,GSW,L,False,115,129,8,8,L 4
