,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Sat, Apr 15, 2017",2017,4,15,10:30p,False,LAC,W,False,97,95,1,0,W 1
1,"Tue, Apr 18, 2017",2017,4,18,10:30p,False,LAC,L,False,91,99,1,1,L 1
2,"Fri, Apr 21, 2017",2017,4,21,10:00p,True,LAC,L,False,106,111,1,2,L 2
3,"Sun, Apr 23, 2017",2017,4,23,9:00p,True,LAC,W,False,105,98,2,2,W 1
4,"Tue, Apr 25, 2017",2017,4,25,10:30p,False,LAC,W,False,96,92,3,2,W 2
5,"Fri, Apr 28, 2017",2017,4,28,10:30p,True,LAC,L,False,93,98,3,3,L 1
6,"Sun, Apr 30, 2017",2017,4,30,3:30p,False,LAC,W,False,104,91,4,3,W 1
8,"Tue, May 2, 2017",2017,5,2,10:30p,False,GSW,L,False,94,106,4,4,L 1
9,"Thu, May 4, 2017",2017,5,4,10:30p,False,GSW,L,False,104,115,4,5,L 2
10,"Sat, May 6, 2017",2017,5,6,8:30p,True,GSW,L,False,91,102,4,6,L 3
11,"Mon, May 8, 2017",2017,5,8,9:00p,True,GSW,L,False,95,121,4,7,L 4
