,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Sun, Apr 16, 2017",2017,4,16,1:00p,True,ATL,W,False,114,107,1,0,W 1
1,"Wed, Apr 19, 2017",2017,4,19,7:00p,True,ATL,W,False,109,101,2,0,W 2
2,"Sat, Apr 22, 2017",2017,4,22,5:30p,False,ATL,L,False,98,116,2,1,L 1
3,"Mon, Apr 24, 2017",2017,4,24,8:00p,False,ATL,L,False,101,111,2,2,L 2
4,"Wed, Apr 26, 2017",2017,4,26,6:00p,True,ATL,W,False,103,99,3,2,W 1
5,"Fri, Apr 28, 2017",2017,4,28,7:30p,False,ATL,W,False,115,99,4,2,W 2
7,"Sun, Apr 30, 2017",2017,4,30,1:00p,False,BOS,L,False,111,123,4,3,L 1
8,"Tue, May 2, 2017",2017,5,2,8:00p,False,BOS,L,True,119,129,4,4,L 2
9,"Thu, May 4, 2017",2017,5,4,8:00p,True,BOS,W,False,116,89,5,4,W 1
10,"Sun, May 7, 2017",2017,5,7,6:30p,True,BOS,W,False,121,102,6,4,W 2
11,"Wed, May 10, 2017",2017,5,10,8:00p,False,BOS,L,False,101,123,6,5,L 1
12,"Fri, May 12, 2017",2017,5,12,8:00p,True,BOS,W,False,92,91,7,5,W 1
13,"Mon, May 15, 2017",2017,5,15,8:00p,False,BOS,L,False,105,115,7,6,L 1
