,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Sun, Apr 14, 2019",2019,4,14,7:00p,True,DET,W,False,121,86,1,0,W 1
1,"Wed, Apr 17, 2019",2019,4,17,8:00p,True,DET,W,False,120,99,2,0,W 2
2,"Sat, Apr 20, 2019",2019,4,20,8:00p,False,DET,W,False,119,103,3,0,W 3
3,"Mon, Apr 22, 2019",2019,4,22,8:00p,False,DET,W,False,127,104,4,0,W 4
5,"Sun, Apr 28, 2019",2019,4,28,1:00p,True,BOS,L,False,90,112,4,1,L 1
6,"Tue, Apr 30, 2019",2019,4,30,8:00p,True,BOS,W,False,123,102,5,1,W 1
7,"Fri, May 3, 2019",2019,5,3,8:00p,False,BOS,W,False,123,116,6,1,W 2
8,"Mon, May 6, 2019",2019,5,6,7:00p,False,BOS,W,False,113,101,7,1,W 3
9,"Wed, May 8, 2019",2019,5,8,8:00p,True,BOS,W,False,116,91,8,1,W 4
11,"Wed, May 15, 2019",2019,5,15,8:30p,True,TOR,W,False,108,100,9,1,W 5
12,"Fri, May 17, 2019",2019,5,17,8:30p,True,TOR,W,False,125,103,10,1,W 6
13,"Sun, May 19, 2019",2019,5,19,7:00p,False,TOR,L,True,112,118,10,2,L 1
14,"Tue, May 21, 2019",2019,5,21,8:30p,False,TOR,L,False,102,120,10,3,L 2
15,"Thu, May 23, 2019",2019,5,23,8:30p,True,TOR,L,False,99,105,10,4,L 3
16,"Sat, May 25, 2019",2019,5,25,8:30p,False,TOR,L,False,94,100,10,5,L 4
