,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Sun, Apr 14, 2019",2019,4,14,3:30p,True,OKC,W,False,104,99,1,0,W 1
1,"Tue, Apr 16, 2019",2019,4,16,10:30p,True,OKC,W,False,114,94,2,0,W 2
2,"Fri, Apr 19, 2019",2019,4,19,9:30p,False,OKC,L,False,108,120,2,1,L 1
3,"Sun, Apr 21, 2019",2019,4,21,9:30p,False,OKC,W,False,111,98,3,1,W 1
4,"Tue, Apr 23, 2019",2019,4,23,10:30p,True,OKC,W,False,118,115,4,1,W 2
6,"Mon, Apr 29, 2019",2019,4,29,10:30p,False,DEN,L,False,113,121,4,2,L 1
7,"Wed, May 1, 2019",2019,5,1,9:00p,False,DEN,W,False,97,90,5,2,W 1
8,"Fri, May 3, 2019",2019,5,3,10:30p,True,DEN,W,True,140,137,6,2,W 2
9,"Sun, May 5, 2019",2019,5,5,7:00p,True,DEN,L,False,112,116,6,3,L 1
10,"Tue, May 7, 2019",2019,5,7,10:30p,False,DEN,L,False,98,124,6,4,L 2
11,"Thu, May 9, 2019",2019,5,9,10:30p,True,DEN,W,False,119,108,7,4,W 1
12,"Sun, May 12, 2019",2019,5,12,3:30p,False,DEN,W,False,100,96,8,4,W 2
14,"Tue, May 14, 2019",2019,5,14,9:00p,False,GSW,L,False,94,116,8,5,L 1
15,"Thu, May 16, 2019",2019,5,16,9:00p,False,GSW,L,False,111,114,8,6,L 2
16,"Sat, May 18, 2019",2019,5,18,9:00p,True,GSW,L,False,99,110,8,7,L 3
17,"Mon, May 20, 2019",2019,5,20,9:00p,True,GSW,L,True,117,119,8,8,L 4
