,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Sat, Apr 13, 2019",2019,4,13,5:00p,True,ORL,L,False,101,104,0,1,L 1
1,"Tue, Apr 16, 2019",2019,4,16,8:00p,True,ORL,W,False,111,82,1,1,W 1
2,"Fri, Apr 19, 2019",2019,4,19,7:00p,False,ORL,W,False,98,93,2,1,W 2
3,"Sun, Apr 21, 2019",2019,4,21,7:00p,False,ORL,W,False,107,85,3,1,W 3
4,"Tue, Apr 23, 2019",2019,4,23,7:00p,True,ORL,W,False,115,96,4,1,W 4
6,"Sat, Apr 27, 2019",2019,4,27,7:30p,True,PHI,W,False,108,95,5,1,W 5
7,"Mon, Apr 29, 2019",2019,4,29,8:00p,True,PHI,L,False,89,94,5,2,L 1
8,"Thu, May 2, 2019",2019,5,2,8:00p,False,PHI,L,False,95,116,5,3,L 2
9,"Sun, May 5, 2019",2019,5,5,3:30p,False,PHI,W,False,101,96,6,3,W 1
10,"Tue, May 7, 2019",2019,5,7,8:00p,True,PHI,W,False,125,89,7,3,W 2
11,"Thu, May 9, 2019",2019,5,9,8:00p,False,PHI,L,False,101,112,7,4,L 1
12,"Sun, May 12, 2019",2019,5,12,7:00p,True,PHI,W,False,92,90,8,4,W 1
14,"Wed, May 15, 2019",2019,5,15,8:30p,False,MIL,L,False,100,108,8,5,L 1
15,"Fri, May 17, 2019",2019,5,17,8:30p,False,MIL,L,False,103,125,8,6,L 2
16,"Sun, May 19, 2019",2019,5,19,7:00p,True,MIL,W,True,118,112,9,6,W 1
17,"Tue, May 21, 2019",2019,5,21,8:30p,True,MIL,W,False,120,102,10,6,W 2
18,"Thu, May 23, 2019",2019,5,23,8:30p,False,MIL,W,False,105,99,11,6,W 3
19,"Sat, May 25, 2019",2019,5,25,8:30p,True,MIL,W,False,100,94,12,6,W 4
21,"Thu, May 30, 2019",2019,5,30,9:00p,True,GSW,W,False,118,109,13,6,W 5
22,"Sun, Jun 2, 2019",2019,6,2,8:00p,True,GSW,L,False,104,109,13,7,L 1
23,"Wed, Jun 5, 2019",2019,6,5,9:00p,False,GSW,W,False,123,109,14,7,W 1
24,"Fri, Jun 7, 2019",2019,6,7,9:00p,False,GSW,W,False,105,92,15,7,W 2
25,"Mon, Jun 10, 2019",2019,6,10,9:00p,True,GSW,L,False,105,106,15,8,L 1
26,"Thu, Jun 13, 2019",2019,6,13,9:00p,False,GSW,W,False,114,110,16,8,W 1
