,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Sun, May 23, 2021",2021,5,23,7:00p,False,NYK,W,False,107,105,1,0,W 1
1,"Wed, May 26, 2021",2021,5,26,7:30p,False,NYK,L,False,92,101,1,1,L 1
2,"Fri, May 28, 2021",2021,5,28,7:00p,True,NYK,W,False,105,94,2,1,W 1
3,"Sun, May 30, 2021",2021,5,30,1:00p,True,NYK,W,False,113,96,3,1,W 2
4,"Wed, Jun 2, 2021",2021,6,2,7:30p,False,NYK,W,False,103,89,4,1,W 3
6,"Sun, Jun 6, 2021",2021,6,6,1:00p,False,PHI,W,False,128,124,5,1,W 4
7,"Tue, Jun 8, 2021",2021,6,8,7:30p,False,PHI,L,False,102,118,5,2,L 1
8,"Fri, Jun 11, 2021",2021,6,11,7:30p,True,PHI,L,False,111,127,5,3,L 2
9,"Mon, Jun 14, 2021",2021,6,14,7:30p,True,PHI,W,False,103,100,6,3,W 1
10,"Wed, Jun 16, 2021",2021,6,16,7:30p,False,PHI,W,False,109,106,7,3,W 2
11,"Fri, Jun 18, 2021",2021,6,18,7:30p,True,PHI,L,False,99,104,7,4,L 1
12,"Sun, Jun 20, 2021",2021,6,20,8:00p,False,PHI,W,False,103,96,8,4,W 1
14,"Wed, Jun 23, 2021",2021,6,23,8:30p,False,MIL,W,False,116,113,9,4,W 2
15,"Fri, Jun 25, 2021",2021,6,25,8:30p,False,MIL,L,False,91,125,9,5,L 1
16,"Sun, Jun 27, 2021",2021,6,27,8:30p,True,MIL,L,False,102,113,9,6,L 2
17,"Tue, Jun 29, 2021",2021,6,29,8:30p,True,MIL,W,False,110,88,10,6,W 1
18,"Thu, Jul 1, 2021",2021,7,1,8:30p,False,MIL,L,False,112,123,10,7,L 1
19,"Sat, Jul 3, 2021",2021,7,3,8:30p,True,MIL,L,False,107,118,10,8,L 2
