,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Sat, May 22, 2021",2021,5,22,8:00p,True,BOS,W,False,104,93,1,0,W 1
1,"Tue, May 25, 2021",2021,5,25,7:30p,True,BOS,W,False,130,108,2,0,W 2
2,"Fri, May 28, 2021",2021,5,28,8:30p,False,BOS,L,False,119,125,2,1,L 1
3,"Sun, May 30, 2021",2021,5,30,7:00p,False,BOS,W,False,141,126,3,1,W 1
4,"Tue, Jun 1, 2021",2021,6,1,7:30p,True,BOS,W,False,123,109,4,1,W 2
6,"Sat, Jun 5, 2021",2021,6,5,7:30p,True,MIL,W,False,115,107,5,1,W 3
7,"Mon, Jun 7, 2021",2021,6,7,7:30p,True,MIL,W,False,125,86,6,1,W 4
8,"Thu, Jun 10, 2021",2021,6,10,7:30p,False,MIL,L,False,83,86,6,2,L 1
9,"Sun, Jun 13, 2021",2021,6,13,3:00p,False,MIL,L,False,96,107,6,3,L 2
10,"Tue, Jun 15, 2021",2021,6,15,8:30p,True,MIL,W,False,114,108,7,3,W 1
11,"Thu, Jun 17, 2021",2021,6,17,8:30p,False,MIL,L,False,89,104,7,4,L 1
12,"Sat, Jun 19, 2021",2021,6,19,8:30p,True,MIL,L,True,111,115,7,5,L 2
